"language","tone","informant","token","syllable","onset","offset","f0mean","excursion","maxloc"
"Thai","21","F2","2","ma",0.0161503797434672,-0.211895583622815,-0.0846619176174296,0.228045963366282,0.125
"Thai","21","F2","3","ma",-0.0442415302569674,-0.194507516067484,-0.109147003136202,0.150265985810516,0.125
"Thai","21","F2","4","ma",0.0198495230085863,-0.127096267635235,-0.0614122380330776,0.184116356820727,0.25
"Thai","21","F2","5","ma",-0.0385821435194184,-0.149421878876508,-0.0966635797680053,0.140199635464949,0.25
"Thai","241","F2","1","ma",0.0446434905656482,-0.117055955947609,0.0416873294955187,0.237220582222523,0.5
"Thai","241","F2","2","ma",0.0208877183582287,-0.0926084957706352,0.0565184898717784,0.219960460480627,0.5
"Thai","241","F2","3","ma",0.000646308945244058,-0.167811693680722,0.0228164594183746,0.293214275911907,0.625
"Thai","241","F2","4","ma",0.0483829240539079,-0.144169476487665,0.0510970073267677,0.278860206033936,0.5
"Thai","241","F2","5","ma",-0.00417710665599651,-0.162455710010015,-0.0354617692747127,0.16667989073838,0.5
"Thai","315","F2","1","ma",0.00793342557743515,0.161777604069364,-0.040984113351177,0.296093617948295,1
"Thai","315","F2","2","ma",-0.0393160166784216,0.299102573859681,-0.0214260148826547,0.413996264768409,1
"Thai","315","F2","3","ma",-0.00842595293896746,0.0845597441775909,-0.0450450392105055,0.182154478638167,1
"Thai","315","F2","4","ma",-0.0350448063531665,0.123094562718169,-0.0335945674248296,0.207069667556966,1
"Thai","315","F2","5","ma",0.0373269603067456,0.085837349635557,-0.0386898357688456,0.205167520304533,1
"Thai","33","F2","1","ma",0.0115653493100572,-0.152823827466923,-0.0393806269824621,0.16438917677698,0.125
"Thai","33","F2","2","ma",-0.0529154042010454,-0.148445836607225,-0.0236952991303721,0.166240924526098,0.375
"Thai","33","F2","3","ma",0.0358764542896577,-0.112398824425985,-0.0032512840803694,0.148275278715642,0.125
"Thai","33","F2","4","ma",0.0163453135726312,-0.145566898731454,-0.0102701423557276,0.190729992404438,0.25
"Thai","33","F2","5","ma",0.0164738997332771,-0.0708797681586887,0.00884706633968178,0.104691719166108,0.5
"Thai","45","F2","1","ma",0.0252353117963443,0.157235892678302,0.0430674732272042,0.171424577961615,1
"Thai","45","F2","2","ma",-0.00720005074797679,0.118171474850517,0.0296045083779879,0.125371525598493,1
"Thai","45","F2","3","ma",-0.026163149098193,0.0959412280359479,-0.000489776924859861,0.132419127535523,1
"Thai","45","F2","4","ma",-0.030641294170385,0.0462004900435155,-0.0172415818559111,0.098239791358815,1
"Thai","45","F2","5","ma",-0.0430612000649098,0.0116089919809559,-0.0396492827011574,0.0833991528004954,1
"Thai","21","F2","1","mi",0.0184799082220877,-0.0989387744467936,-0.0472848582749819,0.158225779361107,0.25
"Thai","21","F2","2","mi",-0.0253942865719674,-0.184529452524294,-0.0787360141739433,0.201873751890694,0.375
"Thai","21","F2","3","mi",-0.0309526683027955,-0.18839610548176,-0.124105142753302,0.219299936531497,0.125
"Thai","21","F2","4","mi",-0.0041781941087823,-0.105888159143961,-0.0620831516291327,0.143357131194496,0.25
"Thai","21","F2","5","mi",-0.00803140315108279,-0.154126018914903,-0.0925299097087544,0.156409114177736,0.125
"Thai","241","F2","1","mi",0.0892330876689645,-0.18791156488981,0.0876452083423942,0.427515154304173,0.5
"Thai","241","F2","2","mi",0.0758371199216785,-0.155262706449342,0.111910350566463,0.365197836862058,0.625
"Thai","241","F2","3","mi",0.0603353485278405,-0.166136612402521,0.0721571804690535,0.323903332775943,0.5
"Thai","241","F2","4","mi",0.0542950726227003,-0.127947830324622,0.0791936270108279,0.278411001872804,0.5
"Thai","241","F2","5","mi",0.0420866587486524,-0.197157714353728,0.0274355305097029,0.304170028145567,0.5
"Thai","315","F2","1","mi",0.0286575214345276,0.220958262353249,0.0276413303697392,0.275290864143734,1
"Thai","315","F2","2","mi",0.0134233754327714,0.261566343008757,0.0145957110890495,0.348781485116314,1
"Thai","315","F2","3","mi",0.00613005444032854,0.147793435798083,-0.0315994204518343,0.256415852065365,1
"Thai","315","F2","4","mi",-0.00245931776728817,0.161920952930125,-0.0406855035536194,0.291177999082028,1
"Thai","315","F2","5","mi",-0.0424929765743145,0.313876833230597,-0.00660335334962595,0.423894038306537,1
"Thai","33","F2","1","mi",0.025512466335708,-0.0921425053675874,0.0100064657131192,0.149878399248356,0.375
"Thai","33","F2","2","mi",0.000109327583153459,-0.103825913598263,0.0324749252842182,0.176694498588234,0.375
"Thai","33","F2","3","mi",0.0382490456277311,-0.123927780265512,0.0237224764178485,0.188906905781344,0.375
"Thai","33","F2","4","mi",0.0305789972668053,-0.148057465923708,0.00904032657836958,0.228007061093082,0.375
"Thai","33","F2","5","mi",-0.000128844683109428,-0.149218718250438,-0.00738799569062367,0.184510427566985,0.375
"Thai","45","F2","1","mi",0.0451537882669398,0.326870465093775,0.130975157360036,0.281716676826835,1
"Thai","45","F2","2","mi",0.0607169212780111,0.304679707136915,0.144813290587288,0.243962785858904,1
"Thai","45","F2","3","mi",0.0136729705051258,0.258610346417466,0.108216312353624,0.244937375912341,1
"Thai","45","F2","4","mi",0.0458393150082808,0.188463809423234,0.0406898129103697,0.208002845100465,1
"Thai","45","F2","5","mi",0.0369884826999201,0.166526493674229,0.0804267291450852,0.19541781315586,0.875
"Thai","21","F3","1","ma",-0.0431880856114828,-0.211831101217197,-0.130499506950037,0.175112553276131,0.25
"Thai","21","F3","2","ma",-0.00745572662201221,-0.185567318106217,-0.108123581121384,0.178111591484205,0.125
"Thai","21","F3","3","ma",-0.0624055111617707,-0.205559491586631,-0.14364211264402,0.14315398042486,0.125
"Thai","21","F3","4","ma",-0.0573840568850603,-0.174582443580549,-0.0979831090075035,0.14564575321373,0.25
"Thai","241","F3","1","ma",0.0554310224346744,-0.160487164282171,0.0695003647870834,0.285471199580627,0.375
"Thai","241","F3","2","ma",0.0635583883753825,-0.147290440989046,0.0840399085269922,0.292336877147406,0.625
"Thai","241","F3","3","ma",0.0418162761290591,-0.0538547428040662,0.113015418702527,0.218491846409763,0.5
"Thai","241","F3","4","ma",0.125669982616325,-0.0591372451465649,0.134168853569976,0.247148895108711,0.375
"Thai","315","F3","1","ma",-0.0808642857108389,0.0411673337014986,-0.11609584697183,0.219604972198245,1
"Thai","315","F3","2","ma",-0.0812386641642415,0.048358641050972,-0.120570108011297,0.234333563977106,1
"Thai","315","F3","3","ma",-0.0419552817464308,0.108154879535845,-0.10979736483757,0.316923120108138,1
"Thai","315","F3","4","ma",-0.0819308372563729,0.049021768413278,-0.122278138200231,0.245728973924031,1
"Thai","33","F3","1","ma",-0.0156999426607442,-0.0983111530344483,0.00915744493108462,0.137787473498365,0.625
"Thai","33","F3","2","ma",0.00493463224046746,-0.0808880545663107,0.0106754073814249,0.122792594811279,0.75
"Thai","33","F3","3","ma",-0.00548416935338983,-0.121351397650512,-0.00843742988033043,0.145783254501558,0.375
"Thai","33","F3","4","ma",0.0142896843192545,-0.0465024510314299,0.0234886966238655,0.0970749468709782,0.25
"Thai","45","F3","1","ma",0.0358868680698043,0.255116790531513,0.100966005903696,0.219229922461709,1
"Thai","45","F3","2","ma",0.0144863106046306,0.182070766944013,0.0584480817427725,0.169200608053168,1
"Thai","45","F3","3","ma",0.0133801294729644,0.17802383622201,0.0323770438603008,0.18933335044118,1
"Thai","45","F3","4","ma",0.0279426511799714,0.208513935174921,0.0867817033173562,0.18057128399495,1
"Thai","21","F3","1","mi",-0.0161370013843007,-0.219824736540207,-0.111381411031215,0.222696350212974,0.25
"Thai","21","F3","2","mi",-0.0500066188473158,-0.197865765948232,-0.117174005297078,0.167895766971855,0.25
"Thai","21","F3","3","mi",-0.00252221256801471,-0.184512144800396,-0.0829093598725853,0.207687382614264,0.25
"Thai","21","F3","4","mi",-0.00545010386615424,-0.151431245802913,-0.0630596742370526,0.162138234513196,0.25
"Thai","241","F3","1","mi",0.0659012052411101,-0.21978009955327,0.0810182230917253,0.39893526547955,0.375
"Thai","241","F3","2","mi",0.101268863588567,-0.131089074095165,0.140727644076691,0.342550504572979,0.75
"Thai","241","F3","3","mi",0.0894663236186446,-0.0804145217172371,0.122789816783417,0.259065181177724,0.75
"Thai","241","F3","4","mi",0.147113677963053,-0.00251555294045106,0.220133810175706,0.286342904913097,0.375
"Thai","315","F3","1","mi",-0.0338771377655432,0.0353640665178057,-0.107825885548178,0.228455916947266,1
"Thai","315","F3","2","mi",-0.0585234310265087,0.0344678678613413,-0.104412337569511,0.209565383808855,1
"Thai","315","F3","3","mi",-0.0411622974023825,0.0978438512061532,-0.104461334942018,0.290107714201078,1
"Thai","315","F3","4","mi",-0.0250385273586414,-0.00948515358725762,-0.117944783268615,0.183614572247844,1
"Thai","33","F3","1","mi",0.0136182659158864,-0.137044801764155,0.0178148281118884,0.199389527070623,0.5
"Thai","33","F3","2","mi",-0.0346530586577029,-0.232627936895301,-0.0336316344416317,0.244185600126625,0.375
"Thai","33","F3","3","mi",-0.0505765100420829,-0.182463490505543,-0.0310859427922693,0.192531808380525,0.375
"Thai","33","F3","4","mi",0.0291047205940617,-0.165337292250201,0.0134209654613843,0.228489159541693,0.25
"Thai","45","F3","1","mi",0.0788886496493485,0.334459415642649,0.173579717354753,0.2555707659933,1
"Thai","45","F3","2","mi",0.0451895970511203,0.237182324421853,0.0994870547157343,0.191992727370733,1
"Thai","45","F3","3","mi",0.0256779484971619,0.324506589681238,0.120487889784725,0.298828641184076,1
"Thai","45","F3","4","mi",0.0234542983102462,0.306257134141012,0.119234687721256,0.282802835830766,1
"Thai","21","F4","1","ma",-0.0429551193119862,-0.217611256504532,-0.111975310200371,0.199566156098827,0.25
"Thai","21","F4","2","ma",-0.0490220430717161,-0.287786021106274,-0.144498635417114,0.251020134076205,0.25
"Thai","21","F4","3","ma",-0.0492164736538539,-0.228715156032814,-0.124525290878865,0.204309461766773,0.25
"Thai","21","F4","4","ma",-0.0646254720472716,-0.222001408521997,-0.121200577453797,0.192031442043572,0.25
"Thai","21","F4","5","ma",-0.0589445926223242,-0.25939176190678,-0.14261928983202,0.237324376153034,0.25
"Thai","21","F4","6","ma",-0.0445918257576625,-0.233006152906254,-0.119648162827412,0.222714506644731,0.25
"Thai","241","F4","1","ma",0.0259978328183971,-0.120640580873341,0.0724315774235193,0.271714493004511,0.5
"Thai","241","F4","2","ma",0.0445331588547206,-0.150525938779128,0.0908966527844371,0.331083490448143,0.625
"Thai","241","F4","3","ma",0.10186427721028,-0.137641851944496,0.111570715093328,0.331746992594376,0.5
"Thai","241","F4","4","ma",0.106984521570625,-0.350105936227644,0.0834261123792264,0.553562768765125,0.5
"Thai","241","F4","5","ma",0.0337138524581841,-0.062646183875373,0.132324711579106,0.27917791703979,0.625
"Thai","241","F4","6","ma",0.0475214006125238,-0.114643692719127,0.0996684297157952,0.294368305250435,0.5
"Thai","315","F4","1","ma",-0.0820058920339974,-0.166355209783165,-0.171110103595733,0.132152485397822,0.125
"Thai","315","F4","2","ma",-0.0292022173025246,-0.0639078705077498,-0.0971668079456037,0.122173688702128,0.125
"Thai","315","F4","3","ma",-0.093268046941186,-0.0616408542870828,-0.130683322343131,0.118336239557788,1
"Thai","315","F4","4","ma",-0.0741147966458764,-0.0557528494569376,-0.123919044915213,0.127280483205875,1
"Thai","315","F4","5","ma",-0.0611377721171538,-0.0877577725869109,-0.125312864960219,0.113607979275511,0.125
"Thai","315","F4","6","ma",-0.0459098159193085,-0.0205594427555043,-0.0903533231003396,0.139848945496516,0.25
"Thai","33","F4","1","ma",-0.0253193014239119,-0.102836763419324,-0.0483326212727136,0.0802758251264857,0.25
"Thai","33","F4","2","ma",-0.0877320216170539,-0.1431485134968,-0.0783472636108306,0.0947503648030894,0.75
"Thai","33","F4","3","ma",-0.0342187395394432,-0.101095643372983,-0.0312788791664117,0.0966896111649708,0.25
"Thai","33","F4","4","ma",0.0276155793943104,-0.0699036593791473,-0.00563251232275576,0.0975192387734577,0.125
"Thai","33","F4","5","ma",-0.0211389219323658,-0.0624589740182233,0.00297739830917976,0.0970806740969046,0.75
"Thai","33","F4","6","ma",-0.0398388735560522,-0.153107403614005,-0.0499523547177964,0.136948859518035,0.25
"Thai","45","F4","1","ma",-0.0534187344213101,0.0627037142586287,-0.0251944964787269,0.125889734679259,1
"Thai","45","F4","2","ma",-0.0600598938550405,0.104439826143834,-0.0201808734494264,0.164499719998874,1
"Thai","45","F4","3","ma",-0.005457855370915,0.152016769015067,0.0267974862335454,0.173735866327239,1
"Thai","45","F4","4","ma",-0.0116856353493014,0.169125404313003,0.0432316178035469,0.180811039662304,1
"Thai","45","F4","5","ma",0.0342711461003597,0.141329748857029,0.0240444974650489,0.171642388767374,1
"Thai","45","F4","6","ma",0.0207023461405153,0.188641509876267,0.0525047789065614,0.184516979347459,1
"Thai","21","F4","1","mi",-0.0493934919816774,-0.202111834327178,-0.104613194664756,0.170218698184539,0.25
"Thai","21","F4","2","mi",-0.0939304222099069,-0.175674580146274,-0.0643225523909982,0.214756804030603,0.375
"Thai","21","F4","3","mi",-0.0160854958313305,-0.179631704547904,-0.0888615718296709,0.181369473057679,0.25
"Thai","21","F4","4","mi",-0.034035397579324,-0.207255822569237,-0.0990660579738744,0.213164629366123,0.25
"Thai","21","F4","5","mi",0.0137403292556245,-0.187566056552323,-0.0560447757421487,0.233255695601457,0.25
"Thai","21","F4","6","mi",-0.0350052522002703,-0.179398169895666,-0.0531468083154766,0.222571683385585,0.375
"Thai","241","F4","1","mi",0.0737995817710086,-0.17975135383616,0.134630889063962,0.449540728508228,0.5
"Thai","241","F4","2","mi",0.0999729294819916,-0.109223118319973,0.194503722035524,0.443276044788973,0.625
"Thai","241","F4","3","mi",0.145489372561746,-0.390554161731136,0.129669427712279,0.717495790635481,0.375
"Thai","241","F4","4","mi",0.164121711815377,-0.180153485386305,0.189167690280603,0.4893119896365,0.5
"Thai","241","F4","5","mi",0.134380890901323,-0.174824657783797,0.227143132384058,0.582932941601347,0.5
"Thai","241","F4","6","mi",0.0934387655806513,-0.142404548200025,0.174952609269812,0.438348362522046,0.5
"Thai","315","F4","1","mi",-0.0846578734950922,0.0351561898655965,-0.0826976291788254,0.164616703278633,1
"Thai","315","F4","2","mi",-0.0770078841153193,0.0912409953263751,-0.0568142609248128,0.216391305956166,1
"Thai","315","F4","3","mi",-0.0391300449939415,0.0574378587784454,-0.0484299834731654,0.158014676542948,1
"Thai","315","F4","4","mi",-0.0524842068977352,0.051439067997407,-0.057699029135096,0.17802193631348,1
"Thai","315","F4","5","mi",0.0156898258568825,0.1313969178813,-0.000787812098782936,0.211639020399501,1
"Thai","315","F4","6","mi",0.000266126045277084,0.227443243888304,0.0110668259799934,0.287352346691784,1
"Thai","33","F4","1","mi",0.0100630481797152,-0.137927574519913,-0.0342013677782573,0.162858442426377,0.25
"Thai","33","F4","2","mi",-0.00472706683612631,-0.101560248165279,-0.00810340572311686,0.126827844696999,0.25
"Thai","33","F4","3","mi",0.0246518245365218,-0.124878717415328,0.0150609208865264,0.187465086847433,0.25
"Thai","33","F4","4","mi",0.0301238380811296,-0.211802267797918,0.0444853287088328,0.31938278839894,0.375
"Thai","33","F4","5","mi",0.0862808069617601,-0.0651643375577925,0.0827731283533334,0.183860915761307,0.25
"Thai","33","F4","6","mi",0.0391173089992532,-0.0886001543314726,0.0612686613902465,0.194252231206477,0.375
"Thai","45","F4","1","mi",0.0195012771896606,0.197882118084891,0.0866991636569773,0.17838084089523,1
"Thai","45","F4","2","mi",-0.0453160355688094,0.210053514489715,0.058820971585394,0.255369550058524,1
"Thai","45","F4","3","mi",-0.0229497506376494,0.247164877430211,0.0670837736278178,0.27011462806786,1
"Thai","45","F4","4","mi",0.00579951815033787,0.243923290842143,0.0893012228735007,0.238123772691805,1
"Thai","45","F4","5","mi",0.0607420199685912,0.225932944426437,0.111353418218061,0.165190924457845,1
"Thai","45","F4","6","mi",0.027061695917388,0.198614491594695,0.0988653199972403,0.171552795677307,1
"Thai","21","M1","1","ma",-0.00174974996138508,-0.197409858894361,-0.0996718384257631,0.195660108932975,0.125
"Thai","21","M1","2","ma",0.0679864043519878,-0.177685876510494,-0.0607742198774198,0.245672280862482,0.125
"Thai","21","M1","3","ma",0.0269659407658474,-0.192016276509029,-0.0754241701165525,0.219537357709192,0.25
"Thai","21","M1","4","ma",-0.0083521473727362,-0.201381904072891,-0.103094405000151,0.193029756700155,0.125
"Thai","241","M1","1","ma",-0.00681210672220715,-0.233064747073104,-0.0134562585832651,0.300639420631875,0.625
"Thai","241","M1","2","ma",0.102271813467743,-0.135491922307855,0.0860395967764653,0.283639317929351,0.5
"Thai","241","M1","3","ma",0.085822597380799,-0.175171051173962,0.0871985519042053,0.340957753650016,0.625
"Thai","241","M1","4","ma",0.017215731382837,-0.213667647443863,0.0375904982509992,0.333369240878424,0.5
"Thai","315","M1","1","ma",0.00706904102614593,-0.0193618608689673,-0.0979671572857724,0.202467377733468,0.125
"Thai","315","M1","2","ma",0.0100706412827307,0.108605969389781,-0.0558867740388682,0.257324115235338,1
"Thai","315","M1","3","ma",-0.00425707841615483,0.0508115176835453,-0.0966564815608247,0.251409987286358,1
"Thai","315","M1","4","ma",-0.0194919848230425,0.106184971862742,-0.0702273568110906,0.276919960604082,1
"Thai","33","M1","1","ma",-0.0603067309236799,-0.233617771061711,-0.11298452311438,0.173311040138031,0.125
"Thai","33","M1","2","ma",0.0304564622527379,-0.100666866416547,-0.0064116630025546,0.131123328669285,0.125
"Thai","33","M1","3","ma",-0.0702445004528395,-0.111963325668422,-0.0670728977699865,0.0688285846653477,0.25
"Thai","33","M1","4","ma",-0.0566627493105585,-0.148854036699014,-0.0797674233916489,0.0921912873884551,0.125
"Thai","45","M1","1","ma",-0.0761711390907167,0.01633924695639,-0.0522869573186046,0.152179774065863,0.875
"Thai","45","M1","2","ma",0.0274414457105204,0.15380894700338,0.0992221276577425,0.210663784004981,0.875
"Thai","45","M1","3","ma",-0.0148854660852538,0.120331958121996,0.0311662297442636,0.149793915854741,0.875
"Thai","45","M1","4","ma",-0.0267386614034059,0.0734887417041537,0.0232599063284408,0.186603876836752,0.875
"Thai","21","M1","1","mi",-0.086620488742506,-0.298099728110075,-0.208988863206413,0.211479239367569,0.125
"Thai","21","M1","2","mi",0.0644905644267317,-0.135564683868356,-0.0388904201792395,0.200055248295087,0.125
"Thai","21","M1","3","mi",0.060236514753066,-0.136971617803801,-0.0168932568414589,0.212561891094053,0.25
"Thai","21","M1","4","mi",0.0485910491713509,-0.170836639751135,-0.0429527341172799,0.228640587394465,0.25
"Thai","241","M1","1","mi",0.0998645746829493,-0.224121892873736,0.120704540842099,0.44935754195275,0.5
"Thai","241","M1","2","mi",0.181651445982586,-0.170750579657606,0.165243130508836,0.449711236586192,0.5
"Thai","241","M1","3","mi",0.156058804525247,-0.157730262437409,0.170316280692602,0.453157238168679,0.5
"Thai","241","M1","4","mi",0.143838000216803,-0.211452721104923,0.109311398500326,0.463218172793764,0.5
"Thai","315","M1","1","mi",-0.0967499288829032,0.093291430348022,-0.0842646889129924,0.262729081716989,1
"Thai","315","M1","2","mi",0.00207725472339702,0.164617663113983,-0.0195866599603596,0.265306029542695,1
"Thai","315","M1","3","mi",0.0512568793107832,0.195315061792383,0.019866937891236,0.261247534198184,1
"Thai","315","M1","4","mi",0.05199094927497,0.209095789417966,0.0209605268353061,0.308638522756844,1
"Thai","33","M1","1","mi",-0.00258027457085656,-0.0952270911639236,-0.00123111279838083,0.118479526119878,0.75
"Thai","33","M1","2","mi",0.056233449893427,-0.000201593239500732,0.0919656334342742,0.129707890116072,0.75
"Thai","33","M1","3","mi",-0.0048121715551979,-0.0762965459563285,-0.00839454646568273,0.0938852683919481,0.25
"Thai","33","M1","4","mi",0.044546376915759,-0.0538811421240286,0.035937236733024,0.120772350617739,0.25
"Thai","45","M1","1","mi",-0.0144300267175604,0.182421841204339,0.0436267211770036,0.1968518679219,1
"Thai","45","M1","2","mi",0.0414861929960235,0.267057959150235,0.128549863869484,0.225571766154211,1
"Thai","45","M1","3","mi",0.0731152820990823,0.279149590736389,0.144362137347389,0.206034308637307,1
"Thai","45","M1","4","mi",-0.0506450960044725,0.0850159823794536,-0.00243690971500514,0.189627885604798,0.875
"Thai","21","M2","1","ma",0.0392600358235012,-0.178544698077774,-0.0709881857581733,0.217804733901276,0.125
"Thai","21","M2","2","ma",0.0108335724084338,-0.2227497687927,-0.103604985118423,0.233583341201134,0.125
"Thai","21","M2","3","ma",0.0224882197908683,-0.157467746692905,-0.0753588830718723,0.179955966483773,0.125
"Thai","21","M2","4","ma",-0.028930690643786,-0.185906696108814,-0.113034391111061,0.156976005465028,0.125
"Thai","241","M2","1","ma",0.130373270512556,-0.0685592598067668,0.142049560585369,0.274795978188577,0.5
"Thai","241","M2","2","ma",0.088411368767183,0.00320476431117491,0.105229560176408,0.143521177341431,0.625
"Thai","241","M2","3","ma",0.0676705336384046,-0.0964888421790726,0.0777093457466542,0.228047651202047,0.5
"Thai","241","M2","4","ma",0.0314476021207742,-0.0723626075122927,0.0832964207603989,0.21595069403969,0.625
"Thai","315","M2","1","ma",0.037963510381764,0.0959218188534546,-0.0589863497156992,0.242578860798925,1
"Thai","315","M2","2","ma",-0.0328195308182066,0.0818636694764832,-0.122371365205579,0.305302327244525,1
"Thai","315","M2","3","ma",-0.0244819285105807,0.133924143430661,-0.0885293832267398,0.321907246378897,1
"Thai","315","M2","4","ma",-0.107408883043018,0.0433862741142957,-0.119459101696863,0.231556246739523,1
"Thai","33","M2","1","ma",0.0307883038267231,-0.0461529720115929,-0.0122528725443968,0.0772264169525317,0.25
"Thai","33","M2","2","ma",0.0409057219477171,-0.0592857732755151,-0.0130135963916364,0.100191495223232,0.125
"Thai","33","M2","3","ma",0.0610389026142353,-0.0816174265100321,-0.0402719036684136,0.142656329124267,0.125
"Thai","33","M2","4","ma",-0.00417384965409403,-0.0752060726714609,-0.0591413666547673,0.0842983710870021,0.125
"Thai","45","M2","1","ma",0.0463784294396379,0.157922864668045,0.0482884676078503,0.146412994356296,1
"Thai","45","M2","2","ma",0.0550600260113239,0.120781545528899,0.0366386025194682,0.127820749376191,1
"Thai","45","M2","3","ma",-0.0411888541027162,0.0464533978884216,-0.0449350671785789,0.132984714594501,1
