"subject","id","tone","duration","onset","offset","f0mean","excursion","maxloc"
"101",1,"M35",527.999999999999,-0.0781060776884451,0.267939416559165,0.0233452526624438,0.369818644005361,1
"101",3,"M55",527.999999999999,0.0963160173213457,0.121514379070272,0.11789603286703,0.0359126463197202,0.5
"101",4,"M214",560.000000000002,-0.0434959836527873,-0.102519624860067,-0.161784569499,0.192013500004195,0.125
"101",5,"M51",328.000000000003,0.154972639489755,0.00878098643816296,0.0846915079491607,0.148240131377346,0.125
"101",6,"M35",391.999999999999,-0.0409158021604076,0.150202842392098,-0.0119894201005762,0.242628622869685,1
"101",7,"M55",391.999999999999,0.102456282312285,0.158048903044642,0.146635811730752,0.0583631421925825,0.875
"101",8,"M214",504.000000000005,-0.0342060385199716,-0.0631453556816701,-0.178182026368176,0.265416124276517,0.125
"101",9,"M35",408.000000000001,-0.0221777658875855,0.281177193334642,0.0204700802462399,0.359053679885181,1
"101",10,"M214",472.000000000001,0.000327520148398337,-0.127184889968014,-0.160733570947561,0.259908689844392,0.125
"101",11,"M51",335.999999999999,0.19427363362454,-0.140978319796703,0.106162605347163,0.390696258175141,0.375
"101",12,"M55",471.999999999994,0.0268836483303422,0.0477691958585116,0.0526744569212305,0.0518486467756386,0.5
"101",13,"M51",351.999999999997,0.20532907759658,-0.0482312174470995,0.0627306633628055,0.288187718437941,0.125
"101",14,"M214",488,-0.0468263881764899,-0.10441689596349,-0.168011352216682,0.207420549812481,0.125
"101",15,"M35",496.000000000002,-0.0762483454872777,0.218369902232316,-0.0616331925672553,0.363817993352648,1
"101",16,"M55",472.000000000001,0.078519246893403,0.0713840284754135,0.0699784230487553,0.0296867951839416,0.25
"101",17,"M55",400.000000000006,0.10876333247646,0.0687508636028793,0.099146218890772,0.0464179847350209,0.5
"101",18,"M35",496.000000000009,-0.0481860615545031,0.213898633574693,0.0219714707742671,0.271732462141432,1
"101",19,"M214",512,-0.0829878716829994,-0.09260581107,-0.158464487051764,0.148861650595569,0.125
"101",20,"M51",400.000000000006,0.202288665554847,-0.18260198708993,0.0748318680061647,0.40536056590825,0.25
"101",21,"M35",544.000000000011,-0.110124589838629,0.180428533411343,-0.0228921670661792,0.296676771630609,1
"101",22,"M51",408.000000000001,0.211321893861068,-0.203529460123653,0.0149952842460277,0.41557834723692,0.125
"101",23,"M55",528.000000000006,0.083279326123077,0.139978146504284,0.144963970857303,0.0905429769584097,0.5
"101",24,"M214",536.000000000001,-0.188491604925722,-0.152403676012391,-0.220879407723163,0.141082647510832,1
"101",25,"M35",512,-0.198954639846979,0.248100338219056,-0.0478820191843638,0.447054978066035,1
"101",26,"M214",536.000000000001,-0.157387029745622,-0.174143872899169,-0.200301359817962,0.0868067595331806,0.125
"101",27,"M55",527.999999999992,0.105262724896482,0.141704537633954,0.13694977978852,0.043911889869184,0.75
"101",28,"M51",471.999999999994,0.185789268591002,-0.188119750521231,0.00913597432253238,0.382196166207114,0.25
"101",29,"M55",544.000000000011,0.0878061291174733,0.123492387713954,0.109820813002747,0.0371911674928063,1
"101",30,"M214",543.999999999997,-0.149415945734964,-0.163724063592386,-0.205667376676526,0.118116962999428,0.25
"101",31,"M35",512,-0.105524496077421,0.097747283715151,-0.0599783052429446,0.220770193040824,1
"101",32,"M51",504.000000000005,0.220694946900239,-0.21785263014568,-0.00413282041360165,0.468214482063063,0.125
"101",33,"M214",520.00000000001,-0.0953189599944243,-0.0909570772903704,-0.169848278568316,0.160944657754641,1
"101",34,"M35",495.999999999995,-0.0553854617767966,0.219776001698896,-0.00144148650752591,0.337507526300691,1
"101",35,"M51",367.999999999995,0.284028541232087,0.0163479913196731,0.122191850930126,0.273063052775938,0.125
"101",36,"M55",512,0.146314298339301,0.161690105053176,0.147747096676533,0.0272382386733614,1
"101",37,"M35",431.999999999988,-0.139955599711168,0.0684832747684922,-0.0895302254379682,0.228387678612601,1
"101",38,"M214",527.999999999992,-0.149144331822452,-0.16504547080858,-0.246223384403228,0.189935295591564,0.125
"101",39,"M51",455.999999999989,0.289319682583271,-0.214160318402771,0.0358737137632418,0.503480000986042,0.125
"101",40,"M55",520.00000000001,0.106198594039946,0.0815001685497831,0.0939759735864669,0.0246984254901626,0.125
"101",41,"M214",543.999999999983,-0.174224579683411,-0.158408301194397,-0.240266101682044,0.148455779303618,1
"101",42,"M55",584.000000000003,0.0462089809483442,0.0614774686761908,0.0628805566415152,0.036355885206763,0.5
"101",43,"M51",447.999999999979,0.173150435799661,-0.247121586618887,-0.0505407233928185,0.420272022418548,0.125
"101",44,"M35",424.000000000007,-0.0891678589885109,0.146941321343702,-0.0571037094585097,0.312029791723216,1
"101",45,"M55",439.999999999998,0.141779770069302,0.102195504495943,0.113016452439654,0.0437899741506693,0.125
"101",46,"M214",551.999999999992,-0.092738366024943,-0.19034167263185,-0.232590818638009,0.228326667550934,0.125
"101",47,"M35",463.999999999999,-0.0381376356412587,0.134804320851958,0.0171283454537426,0.21703251503183,1
"101",48,"M51",391.999999999996,0.253141273068062,-0.156229664224209,0.0562641729683062,0.409370937292271,0.125
"101",49,"M51",367.999999999995,0.346099028324513,-0.123181437639978,0.123558667930252,0.469280465964492,0.125
"101",50,"M55",424.000000000007,0.160584810830314,0.211187022878019,0.199982713180931,0.0567852132622891,0.375
"101",51,"M214",463.999999999999,-0.0439809675158151,-0.146124403460302,-0.157130077458458,0.189725675477272,0.125
"101",52,"M35",391.999999999996,-0.0926488727552512,0.200936055057623,0.0408867877084149,0.293584927812875,1
"101",53,"M214",496.000000000009,-0.117229973020857,-0.173322342761465,-0.199580681702364,0.163261662846255,0.125
"101",54,"M51",407.999999999987,0.317610577621547,-0.200078904510274,0.0683213702630116,0.517689482131821,0.125
"101",55,"M35",432.000000000016,0.00130077154801096,0.258738521373699,0.0888123131434154,0.284637880630386,1
"101",56,"M55",472.000000000008,0.187760790785464,0.222788284684788,0.224287592901657,0.0538630871174648,0.625
"101",57,"M214",536.000000000001,-0.0384630570758408,-0.0805027543424933,-0.150700875753204,0.20223356144661,0.125
"101",58,"M51",376.000000000005,0.285875342687474,-0.134923177241392,0.107359319522174,0.420798519928866,0.125
