Word,Pinyin,Tag,WF,HD,PF,CF,NC,NS,NWF,AoL,NM,REG,AoA,CON,FAM,IMG
灶,zao4,n,6,19,915,13,2,7,9,5,1,0,4.36,6.44,5.32,6.39
皂,zao4,n,1,19,915,9,2,7,5,3,2,0,3.89,6.28,5.58,6.26
造,zao4,v,67,19,915,446,3,10,35,3,4,-1,3.62,4.47,6.62,5.36
择,ze2,v,15,41,609,114,3,8,4,3,1,0,4.59,4.41,6.43,4.41
泽,ze2,v,2,41,609,193,3,8,5,7,3,0,4.9,3.46,4.19,3.03
责,ze2,n,24,41,609,319,2,8,22,3,4,-1,4.33,4.03,5.47,4.06
贼,zei2,n,49,6,21,61,3,10,6,6,3,-1,4.53,6.22,6.53,6.63
增,zeng1,v,79,16,349,394,4,15,26,6,1,1,4.18,4.73,6.61,5.59
憎,zeng1,a,1,16,349,14,4,15,5,14,1,1,5.35,4.59,5.25,4.35
赠,zeng4,v,16,5,6,34,4,16,4,10,1,1,4.45,5.05,6.7,6
渣,zha1,n,3,22,122,9,4,12,7,4,1,-1,4.67,5.03,5.42,6.11
扎,zha2,v,45,14,29,106,2,4,11,4,4,0,3.95,5.08,6.52,5.82
轧,zha2,v,5,14,29,8,2,5,4,7,3,0,5.54,4.9,5.56,4.74
闸,zha2,n,5,14,29,8,2,8,6,8,2,-1,5.25,6.11,5.42,5.64
眨,zha3,v,10,10,32,43,3,9,4,4,1,-1,4.05,5.69,6.44,6.26
诈,zha4,n,1,17,117,23,2,7,7,14,2,1,5.36,4.4,5.22,4.74
炸,zha4,v,16,17,117,91,2,9,7,3,3,1,4.13,5.61,6.42,5.9
榨,zha4,v,2,17,117,4,4,14,3,10,2,-1,5.08,5.43,6.19,5.12
斋,zhai1,n,1,8,55,17,2,10,3,15,2,0,5.63,4.45,5.28,3.59
摘,zhai1,v,33,8,55,43,6,14,7,2,3,0,3.97,5.78,6.66,5.79
宅,zhai2,n,6,2,42,51,3,6,4,8,1,0,4.51,6.74,6.58,6.23
窄,zhai3,a,14,2,27,23,3,10,3,3,2,-1,3.68,5.41,6.68,5.71
债,zhai4,n,18,5,43,60,3,10,10,7,1,-1,5.18,4.87,6.58,4.94
寨,zhai4,n,5,5,43,40,4,14,6,5,3,0,5.2,6.05,5.69,5.45
沾,zhan1,v,33,31,48,32,3,8,6,2,2,1,4.69,5.03,5.94,5.09
毡,zhan1,n,1,31,48,7,3,9,6,11,1,1,5.75,5.7,4.87,5.57
粘,zhan1,v,17,31,48,16,3,11,2,5,3,1,4.15,5.37,6.03,5.58
瞻,zhan1,v,1,31,48,9,5,18,3,11,1,1,5.68,4.95,5.75,4.35
斩,zhan3,v,13,22,904,29,2,8,6,10,1,0,5.15,5.46,6.34,5.16
展,zhan3,v,18,22,904,919,3,10,27,4,2,0,4.14,4.7,6.27,5.61
辗,zhan3,v,1,22,904,7,4,14,3,14,0,1,5.92,5.2,5.16,5.06
占,zhan4,v,323,23,2300,221,2,5,16,6,2,0,4.28,4.67,6.48,4.23
战,zhan4,v,19,23,2300,840,3,9,89,2,2,1,3.8,4.84,6.44,5.74
站,zhan4,v,316,23,2300,457,3,10,17,2,3,1,3.23,6.03,6.77,6
绽,zhan4,v,1,23,2300,16,4,11,5,5,1,-1,5.58,4,5.09,4.62
蘸,zhan4,v,8,23,2300,3,5,22,2,3,1,0,5.38,5.51,5.56,5.65
涨,zhang3,v,27,9,236,47,3,10,8,5,4,1,4.69,5.05,5.77,5.82
掌,zhang3,n,11,9,236,267,4,12,25,1,4,-1,3.95,6.32,6.48,6.1
仗,zhang4,n,22,19,381,52,2,5,11,2,3,1,4.26,4.28,5.81,3.76
帐,zhang4,n,49,19,381,81,2,7,20,6,5,-1,4.47,5.43,5.77,6.3
杖,zhang4,v,4,19,381,26,2,7,5,8,2,1,4.6,4.81,4.03,6.14
胀,zhang4,a,2,19,381,29,2,8,11,6,2,-1,4.56,5.05,6.13,5.82
账,zhang4,n,31,19,381,16,2,8,34,8,2,-1,4.92,5.2,6.5,5.06
障,zhang4,v,1,19,381,66,4,13,9,7,2,1,5.13,3.98,4.84,4.91
招,zhao1,v,43,14,133,274,3,8,26,2,3,1,3.7,4.79,6.71,5.06
昭,zhao1,v,2,14,133,41,3,9,3,8,1,1,5.5,3.47,4.38,3.1
找,zhao3,v,836,4,614,594,2,7,3,1,2,0,2.89,5.35,6.4,6.44
召,zhao4,v,10,25,728,113,2,5,6,10,3,0,4,4.43,5.71,4.18
照,zhao4,v,69,25,728,430,4,13,50,2,5,1,3.81,4.86,6.27,5.32
罩,zhao4,v,5,25,728,40,4,13,9,6,3,-1,4.68,5.35,6.19,5.91
蜇,zhe1,v,2,3,42,1,3,13,1,13,1,1,5.97,4.65,5.25,4.44
遮,zhe1,v,16,3,42,37,4,14,8,5,1,-1,4.9,5.95,6.13,5.84
折,zhe2,v,22,37,1133,132,2,7,37,5,5,0,3.9,5.33,6.41,5.55
哲,zhe2,n,1,37,1133,68,3,10,5,8,2,1,5.26,3.03,5.68,3.46
蔗,zhe4,n,1,11,9313,3,4,14,3,17,1,-1,4.92,5.73,5.47,4.32
贞,zhen1,a,2,51,1555,37,2,6,3,15,3,0,4.97,2.65,5,3.35
针,zhen1,n,18,51,1555,123,2,7,31,4,3,0,3.43,6.78,6.47,6.58
珍,zhen1,a,1,51,1555,123,3,9,19,2,3,0,4.25,3.22,5.58,3.71
斟,zhen1,v,3,51,1555,12,5,13,3,15,1,-1,6.15,5.05,5.94,4.56
臻,zhen1,v,1,51,1555,7,4,16,1,11,1,-1,6.49,2.25,2.91,2.62
诊,zhen3,v,3,28,57,31,3,7,15,6,1,0,4.61,4.75,6.16,5.59
枕,zhen3,v,8,28,57,27,2,8,5,11,2,0,3.64,5.64,5.53,5.52
振,zhen4,v,12,27,693,141,4,10,11,4,2,-1,4.59,4.38,6.31,5.03
赈,zhen4,n,1,27,693,3,4,11,5,23,1,-1,6.03,3.68,4,3.88
镇,zhen4,n,121,27,693,240,4,15,15,5,4,1,4.6,5.64,5.97,4.87
震,zhen4,v,23,27,693,147,4,15,26,5,3,-1,4.82,4.84,6.42,5.45
争,zheng1,v,78,37,1330,438,2,6,27,4,3,0,3.82,4.3,6.74,5.68
征,zheng1,v,13,37,1330,163,3,8,22,5,4,1,4.63,3.56,6.45,3.9
怔,zheng1,v,7,37,1330,58,3,8,7,20,0,1,5.89,3.68,4.48,5.04
挣,zheng1,v,73,37,1330,66,3,9,5,2,2,1,4.69,4.54,6.27,4.93
睁,zheng1,v,33,37,1330,68,3,11,4,2,1,1,3.95,5.88,6.8,6.44
蒸,zheng1,v,16,37,1330,18,5,13,14,4,2,1,4.56,5.41,5.29,6.3
整,zheng3,v,38,10,538,471,4,16,32,2,3,1,4.13,3.63,6.29,4.71
证,zheng4,n,46,13,2990,390,3,7,31,3,2,1,4.23,5,6.87,5.68
政,zheng4,n,31,13,2990,996,3,9,46,5,3,1,4.69,3.24,6.06,3.68
汁,zhi1,n,4,44,4023,20,2,5,10,6,1,-1,3.55,6.37,6.77,5.97
枝,zhi1,n,13,44,4023,69,3,8,17,2,2,1,3.69,6.37,6.33,6.37
知,zhi1,v,190,44,4023,1856,3,8,54,2,4,-1,3.37,3.7,6.4,4.18
织,zhi1,v,16,44,4023,284,3,8,22,7,1,1,4.11,5.32,6.24,5.79
肢,zhi1,n,3,44,4023,20,3,8,13,2,1,1,4.65,6.44,6.32,5.26
执,zhi2,v,5,34,1357,180,2,6,13,8,3,0,4.89,4.32,5.74,3.93
侄,zhi2,n,3,34,1357,24,3,8,5,16,1,1,4.83,6.03,6.47,5.79
值,zhi2,v,30,34,1357,269,3,10,20,4,3,1,4,3.39,5.58,3.96
职,zhi2,n,33,34,1357,335,3,11,29,6,3,1,4.88,4.03,6.28,4.06
植,zhi2,v,16,34,1357,75,3,12,13,3,2,1,4.25,5.26,5.47,4.77
止,zhi3,v,19,35,3274,280,1,4,26,3,3,0,3.56,4.49,5.97,4.86
旨,zhi3,n,18,35,3274,51,2,6,5,17,3,0,5.08,4.22,5.32,3.79
址,zhi3,n,4,35,3274,33,2,7,8,9,1,1,4.68,4.69,6.47,4.35
纸,zhi3,n,105,35,3274,181,2,7,36,2,1,0,3.1,6.95,7,6.53
指,zhi3,v,158,35,3274,687,3,9,53,2,4,1,3.33,5.67,6.6,5.79
趾,zhi3,n,1,35,3274,7,3,11,5,9,2,1,4.47,6.31,5.58,6.48
志,zhi4,n,18,125,4560,449,2,7,28,3,3,0,4.15,3.26,6.45,3.87
治,zhi4,v,153,125,4560,503,3,8,25,3,4,-1,4.26,4.15,6.5,4.74
炙,zhi4,v,1,125,4560,8,2,8,4,8,2,0,6.05,5.08,4.59,4.71
质,zhi4,n,23,125,4560,379,3,8,52,6,3,0,4.56,3.38,5.16,3.18
致,zhi4,v,25,125,4560,297,3,10,40,5,3,1,5.15,3.53,5.88,3.52
掷,zhi4,v,2,125,4560,18,4,11,5,5,2,-1,5.08,5.69,6.19,5.52
窒,zhi4,v,1,125,4560,9,4,11,2,18,1,1,5.85,3.88,4.75,4.26
智,zhi4,n,6,125,4560,155,4,12,16,5,1,1,4.18,2.98,6,4.85
滞,zhi4,a,1,125,4560,20,4,12,11,16,1,-1,5.49,3.7,4.42,3.86
痣,zhi4,n,1,125,4560,2,3,12,1,14,1,1,5.2,6.34,6,5.77
稚,zhi4,a,1,125,4560,18,3,13,3,6,1,0,5.65,3.36,5.81,3.97
置,zhi4,v,26,125,4560,213,3,13,28,2,3,1,4.83,4.79,6.09,3.77
中,zhong1,n,2873,30,3375,5051,1,4,114,1,5,0,2.67,3.95,6.23,5.09
忠,zhong1,a,12,30,3375,109,2,8,13,4,1,1,4.43,4.31,6.56,5.07
钟,zhong1,n,16,30,3375,230,2,9,18,7,4,1,3.73,6.61,6.66,6.57
肿,zhong3,v,9,12,2173,26,2,8,9,13,1,1,4.48,5.56,5.22,5.35
众,zhong4,a,13,15,664,439,3,6,30,3,2,0,3.97,4.35,5.69,5.44
重,chong2,a,182,11,424,1326,1,9,111,3,5,0,3.48,5.03,6.66,5.58
州,zhou1,n,35,34,423,290,1,6,2,6,2,0,3.92,4.62,6.16,4.25
舟,zhou1,n,9,34,423,32,1,6,9,4,1,0,3.39,6.83,6.13,6.78
诌,zhou1,v,1,34,423,2,3,7,2,22,1,-1,6.08,3.08,3.53,3.47
洲,zhou1,n,4,34,423,175,2,9,5,5,2,1,4.63,5.46,6.39,5.13
粥,zhou1,n,28,34,423,11,3,12,1,11,1,0,4.08,6.72,6.78,6.09
轴,zhou2,n,3,4,1,11,2,9,10,6,3,-1,5.1,5.93,6.16,5.88
咒,zhou4,v,4,29,198,28,3,8,5,12,2,0,5.56,4.03,5.68,5.53
宙,zhou4,n,2,29,198,36,2,8,1,6,1,-1,4.53,3.35,5.84,4
昼,zhou4,n,2,29,198,14,3,9,3,8,1,0,4.63,6.05,6.48,5.45
皱,zhou4,v,28,29,198,74,3,10,6,3,2,-1,4.9,5.46,6,5.58
朱,zhu1,n,2,35,263,193,2,6,5,5,2,0,4.56,3.68,5.56,4.59
珠,zhu1,n,8,35,263,148,3,10,36,2,2,1,3.95,5.68,6.65,6.39
猪,zhu1,n,93,35,263,61,3,11,7,7,1,-1,3.17,6.97,6.6,7
竹,zhu2,n,15,26,279,93,1,6,20,1,1,0,3.18,6.74,6.34,6.58
主,zhu3,a,81,19,3981,1654,2,5,92,2,4,0,3.14,3.16,5.39,3.75
拄,zhu3,v,8,19,3981,4,3,8,1,19,1,1,5.15,4.74,5.41,4.47
属,zhu3,v,95,19,3981,224,2,12,20,3,4,-1,4.92,2.75,5.38,3.62
煮,zhu3,v,23,19,3981,21,3,12,2,6,1,-1,3.69,5.73,6.1,6.7
住,zhu4,v,833,53,2098,1043,3,7,32,2,3,1,3,5.35,6.93,6.15
助,zhu4,v,18,53,2098,290,2,7,30,2,1,-1,3.95,3.67,6.09,4.52
注,zhu4,v,6,53,2098,369,3,8,28,3,4,1,4.11,4.25,6.09,5.12
贮,zhu4,v,2,53,2098,7,3,8,5,8,1,0,5.23,4.9,6,4.52
驻,zhu4,v,64,53,2098,84,4,8,12,8,1,1,4.85,4.79,6.28,4.16
柱,zhu4,n,3,53,2098,53,3,9,18,4,2,1,3.95,6.29,6.58,6.06
祝,zhu4,v,26,53,2098,80,3,9,10,3,1,0,3.85,4.05,6.63,4.84
著,zhu4,v,8,53,2098,214,3,11,14,2,4,-1,4.9,3.85,5.84,4.74
蛀,zhu4,v,2,53,2098,2,3,11,4,16,2,1,5.1,5.08,5.56,4.91
筑,zhu4,v,17,53,2098,101,4,12,5,4,3,1,4.82,5.33,6.52,5.41
铸,zhu4,v,9,53,2098,19,3,12,9,3,1,-1,5.1,5.21,5.81,5.1
箸,zhu4,n,1,53,2098,1,3,14,1,13,1,-1,6.51,5.76,4.69,5
抓,zhua1,v,504,5,226,270,2,7,6,4,3,1,3.5,6.06,6.35,6.56
爪,zhua3,n,3,1,0,20,1,4,6,2,3,0,3.28,6.49,6.7,6.27
拽,zhuai1,v,19,1,0,8,2,9,2,6,3,0,5.26,5.33,5.26,6
砖,zhuan1,n,40,16,407,26,2,9,6,11,2,1,3.73,6.84,6.41,6.48
转,zhuan3,v,198,5,0,637,2,8,94,2,3,1,3.69,5.38,6.19,6.5
赚,zhuan4,v,64,18,637,38,3,14,4,13,2,-1,4.88,4.49,6.63,5.29
撰,zhuan4,v,7,18,637,15,5,15,2,15,1,0,6.24,4.21,5.38,4.65
妆,zhuang1,n,3,14,717,31,2,6,5,8,1,-1,4.56,5.32,6.16,5.5
庄,zhuang1,n,6,14,717,186,2,6,20,2,3,0,3.82,4.45,6.57,4.41
装,zhuang1,v,128,14,717,414,3,12,55,2,4,1,4.26,5.03,6,5.61
壮,zhuang4,a,11,11,393,94,2,6,34,4,3,-1,4.1,4.88,6.8,5.65
状,zhuang4,n,19,11,393,196,2,7,31,3,3,-1,4.36,3.28,5.44,3.88
撞,zhuang4,v,48,11,393,88,3,15,14,5,3,-1,4.23,5.68,6.5,6.19
追,zhui1,v,83,8,177,254,2,9,31,2,3,0,3.35,5.53,6.84,6.26
锥,zhui1,n,1,8,177,6,3,13,4,13,2,0,5.81,6.03,5.1,5.75
坠,zhui4,v,4,22,37,24,3,7,9,6,3,-1,5.08,5.38,6.45,6.12
缀,zhui4,v,4,22,37,10,5,11,3,5,3,-1,5.47,4.3,4.94,4.36
赘,zhui4,a,1,22,37,5,4,14,2,20,1,0,6.59,3,3.34,3.06
准,zhun3,a,56,5,519,470,3,10,23,2,5,0,4.18,4.08,5.66,4.35
捉,zhuo1,v,18,15,248,60,3,10,8,1,2,-1,3.69,5.77,6.7,6.06
桌,zhuo1,n,48,15,248,163,3,10,16,1,1,0,2.97,6.71,6.87,6.88
灼,zhuo2,v,1,52,61,18,3,7,8,16,2,-1,5.68,4.82,5.19,4.61
啄,zhuo2,v,3,52,61,5,2,11,3,3,1,-1,4.53,5.54,6,6.03
镯,zhuo2,n,2,52,61,6,4,18,2,21,1,-1,5.69,6,5.5,5.59
兹,zi1,n,2,60,947,47,3,9,1,7,3,0,6.26,2.76,3.19,1.97
姿,zi1,n,1,60,947,59,4,9,16,5,2,-1,4.76,3.92,5.06,4.11
资,zi1,n,18,60,947,707,4,10,34,4,3,-1,4.83,4.77,6.06,3.94
籽,zi2,n,3,1,5185,5,2,9,2,7,1,1,4.97,5.63,6.19,5.12
紫,zi3,a,10,22,5185,99,3,12,20,4,1,-1,3.73,5.72,6.52,6.23
字,zi4,n,343,14,3289,531,2,6,59,1,4,1,2.83,6.33,6.63,6.71
棕,zong1,a,2,36,124,11,3,12,7,2,1,1,5.15,5.21,5.44,4.74
踪,zong1,n,2,36,124,74,4,15,9,7,1,1,5.28,4.06,5.19,3.82
鬃,zong1,n,3,36,124,3,4,18,5,4,1,1,6.5,5.22,4.29,5.14
总,zong3,a,376,16,933,1043,3,9,49,2,3,0,3.56,3.73,5.65,4.04
走,zou3,v,1601,3,1806,1378,2,7,35,1,4,0,2.6,6.13,6.87,6.67
奏,zou4,v,11,3,43,79,3,9,11,9,3,0,5.05,4.82,6.29,4.71
揍,zou4,v,12,3,43,11,4,12,1,11,1,1,4.39,5.43,5.97,6.56
租,zu1,v,18,4,42,73,2,10,12,13,3,-1,4.95,5.05,6.68,5.68
足,zu2,a,40,14,598,401,2,7,49,6,3,0,3.28,4.25,5.29,5.04
卒,zu2,v,2,14,598,20,4,8,3,16,4,0,5.31,4.43,4.47,3.76
族,zu2,n,62,14,598,291,4,11,11,4,3,0,4.74,4.21,6.61,4.26
阻,zu3,v,3,12,881,91,2,7,23,7,1,-1,4.34,4.5,6.28,5.74
组,zu3,n,101,12,881,474,2,8,18,3,2,-1,3.84,4.51,6.19,4.35
祖,zu3,n,3,12,881,181,2,9,23,2,2,-1,3.85,4.87,6.06,4.61
钻,zuan4,v,65,3,6,64,3,10,24,2,3,-1,4.4,5.36,6.25,5.13
嘴,zui3,n,183,5,376,258,6,16,38,3,2,-1,2.93,6.89,6.72,6.77
罪,zui4,n,68,19,1338,219,2,13,27,7,3,-1,4.69,4.33,6.72,5.85
醉,zui4,v,24,19,1338,79,5,15,10,8,3,-1,4.78,5.32,5.65,6.04
遵,zun1,v,7,11,129,45,4,15,6,6,1,1,4.74,3.73,6.19,4.47
昨,zuo2,n,3,9,138,115,2,9,7,3,1,-1,3.15,3.83,5.67,5
左,zuo3,n,53,3,322,252,2,5,17,2,3,0,2.63,5.03,6,5.42
佐,zuo3,v,2,3,322,38,3,7,1,18,2,1,5.67,3.13,4.47,3.55
作,zuo4,v,403,18,4776,2249,2,7,106,3,5,-1,3.53,3.6,6.22,4.76
坐,zuo4,v,432,18,4776,493,3,7,24,1,4,0,2.66,5.84,6.73,6.67
做,zuo4,v,1142,18,4776,998,4,11,20,1,3,0,3.13,4.85,7,5.06
