Word,Pinyin,Tag,WF,HD,PF,CF,NC,NS,NWF,AoL,NM,REG,AoA,CON,FAM,IMG
叙,xu4,v,5,54,537,47,4,9,8,13,3,-1,4.78,4.38,6.34,4.52
绪,xu4,n,1,54,537,98,3,11,7,8,3,-1,5.23,3.47,4.74,3.32
续,xu4,v,7,54,537,344,5,11,15,5,2,-1,5.05,4.05,5.31,3.74
嗅,xu4,v,5,54,537,14,3,13,3,8,1,-1,4.9,5.63,6.39,6.21
蓄,xu4,v,4,54,537,38,4,13,13,8,1,1,4.97,4.03,5.35,4.54
宣,xuan1,v,7,41,199,234,4,9,13,7,1,0,4.63,4.38,6.28,4.32
喧,xuan1,n,1,41,199,18,5,12,8,5,1,1,5,4.59,4.32,4.93
暄,xuan1,a,3,41,199,5,5,13,2,22,2,1,6.19,3.75,3.97,3.32
玄,xuan2,a,3,14,126,57,2,5,3,13,3,0,5.09,2.97,4.55,3.21
悬,xuan2,v,8,14,126,42,3,11,15,9,2,-1,4.97,4.97,6.03,5.59
旋,xuan2,v,3,14,126,69,4,11,21,4,4,0,4.94,5.08,5.83,5.36
漩,xuan2,n,1,14,126,5,5,14,1,11,1,1,5.5,5.11,4.87,5.54
选,xuan3,v,69,6,231,354,3,9,39,5,2,-1,3.69,4.89,6.3,5.93
癣,xuan3,n,5,6,231,1,5,19,1,19,1,-1,5.92,5.48,5.35,4.88
靴,xue1,n,2,6,13,13,3,13,4,8,1,-1,5.18,6.46,5.58,6.67
穴,xue2,n,5,19,3270,58,2,5,11,8,2,0,4.5,6.25,5.81,6.07
学,xue2,v,325,19,3270,1694,3,8,121,1,3,0,2.95,4.5,6.9,6.36
雪,xue3,n,73,7,287,264,2,11,32,1,2,0,2.69,6.67,6.7,6.96
血,xue4,n,91,12,311,294,2,6,66,3,2,0,3.49,6.79,6.81,6.7
熏,xun1,v,3,26,29,15,1,14,5,9,3,0,5.38,4.9,5.81,5.06
寻,xun2,v,28,38,190,184,2,6,14,5,2,0,3.97,5.49,6.13,5.64
巡,xun2,v,2,38,190,56,2,6,12,14,2,0,5.03,5.11,5.48,5.11
循,xun2,v,3,38,190,37,4,12,11,10,1,-1,5.26,2.93,5.25,3.5
训,xun4,v,9,25,333,151,2,5,12,3,3,-1,4.59,4.51,6.47,5.26
讯,xun4,n,53,25,333,196,3,5,15,9,2,0,4.51,4.44,5.71,4.86
逊,xun4,v,1,25,333,42,3,9,3,15,3,-1,5.69,3.54,3.97,3.29
殉,xun4,v,4,25,333,7,3,10,3,13,2,1,5.88,4.79,5.81,4.61
压,ya1,v,94,17,1328,193,3,6,43,4,3,0,3.43,5,6.45,5.26
押,ya1,v,12,17,1328,43,2,8,8,5,3,-1,4.72,4.98,6.06,5.58
鸭,ya1,n,22,17,1328,23,3,10,9,1,1,-1,3.21,6.89,6.97,6.62
牙,ya2,n,38,19,262,140,1,4,30,1,3,0,2.77,6.82,7,6.06
