ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	fileA	fileX	insprac.ACC	insprac.CRESP	insprac.DurationError	insprac.OnsetDelay	insprac.OnsetTime	insprac.OnsetToOnsetTime	insprac.RESP	insprac.RT	insprac.RTTime	praclist	praclist.Cycle	praclist.Sample	pracX.ACC	pracX.CRESP	pracX.DurationError	pracX.OnsetDelay	pracX.OnsetTime	pracX.RESP	pracX.RT	pracX.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	speakerx[Block]	syllable[Block]	syllablex[Block]	token[Block]	tokenx[Block]	tone[Block]	tonex[Block]	Trial	block1a	block1a.Cycle	block1a.Sample	block1b	block1b.Cycle	block1b.Sample	block2a	block2a.Cycle	block2a.Sample	block2b	block2b.Cycle	block2b.Sample	block3a	block3a.Cycle	block3a.Sample	block3b	block3b.Cycle	block3b.Sample	block4a	block4a.Cycle	block4a.Sample	block4b	block4b.Cycle	block4b.Sample	block5a	block5a.Cycle	block5a.Sample	block5b	block5b.Cycle	block5b.Sample	block6a	block6a.Cycle	block6a.Sample	block6b	block6b.Cycle	block6b.Sample	block7a	block7a.Cycle	block7a.Sample	block7b	block7b.Cycle	block7b.Sample	block8a	block8a.Cycle	block8a.Sample	block8b	block8b.Cycle	block8b.Sample	condition	exX.ACC	exX.CRESP	exX.DurationError	exX.OnsetDelay	exX.OnsetTime	exX.RESP	exX.RT	exX.RTTime	insexp.ACC	insexp.CRESP	insexp.DurationError	insexp.OnsetDelay	insexp.OnsetTime	insexp.OnsetToOnsetTime	insexp.RESP	insexp.RT	insexp.RTTime	item	Procedure[Trial]	Running[Trial]	sounda	soundx	speaker[Trial]	speakerx[Trial]	syllable[Trial]	syllablex[Trial]	talkerpair	token[Trial]	tokenx[Trial]	tone[Trial]	tonepair	tonex[Trial]	vowel
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	1				Thai_F1_mii45-1	Thai_F1_mii45-5	0		0	0	45315	0	z	700	46015	8	1	1	0	z	0	-1	44315		0	0	pracproc	praclist	F1	F1	mii	mii	1	5	45	45																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	2				Thai_F1_maa241-1	Thai_F1_maa33-5	0		0	0	51113	0	m	272	51385	1	1	2	0	z	0	-1	50113		0	0	pracproc	praclist	F1	F1	maa	maa	1	5	241	33																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	3				Thai_F1_maa315-2	Thai_F1_maa45-5	0		0	1	56479	0	m	235	56714	2	1	3	0	z	0	-1	55478		0	0	pracproc	praclist	F1	F1	maa	maa	2	5	315	45																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	4				Thai_F1_mii33-2	Thai_F1_maa45-5	0		0	0	61810	0	z	480	62290	7	1	4	0	z	0	-1	60810		0	0	pracproc	praclist	F1	F1	mii	maa	2	5	33	45																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	5				Thai_F1_mii241-1	Thai_F1_maa33-5	0		0	0	67392	0	z	497	67889	5	1	5	0	z	0	-1	66392		0	0	pracproc	praclist	F1	F1	mii	maa	1	5	241	33																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	6				Thai_F1_maa33-4	Thai_F1_maa45-5	0		0	0	72974	0	m	751	73725	3	1	6	0	z	0	-1	71974		0	0	pracproc	praclist	F1	F1	maa	maa	4	5	33	45																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	7				Thai_F1_mii315-2	Thai_F1_maa45-5	0		0	1	78823	0	m	730	79553	6	1	7	0	z	0	-1	77822		0	0	pracproc	praclist	F1	F1	mii	maa	2	5	315	45																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	8				Thai_F1_maa45-3	Thai_F1_mii45-5	0		0	0	84671	0	z	389	85060	4	1	8	0	z	0	-1	83671		0	0	pracproc	praclist	F1	F1	maa	mii	3	5	45	45																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	9				Thai_F1_mii45-1	Thai_F1_mii45-5	0		0	0	90153	0	z	309	90462	8	2	9	0	z	0	-1	89153		0	0	pracproc	praclist	F1	F1	mii	mii	1	5	45	45																																																																																			
Dis_main_chinese_2000ms	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742382</Frequency><Timestamp dt:dt="r8">15668036864</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-02-11T23:05:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms-102-1	60.016	1.0.0.64	1	-1511534889	Professional	2.0.10.353	2.0.10.353	02-12-2018	11-Feb-18 11:05:12 PM	10:05:12	2.0.10.248	10				Thai_F1_maa45-3	Thai_F1_mii45-5	0		0	0	95535	0	z	413	95948	4	2	10	0	z	0	-1	94535		0	0	pracproc	praclist	F1	F1	maa	mii	3	5	45	45																																																																																			
