"Subject","ISI","cgload","Tone_contrast","n_hit","n_fa","n_miss","n_cr","dis_rt","hit_rate","fa_rate","z_hit","z_fa","dprime","speaker","vowel","language","dprime2"
103,"Low","ssdv","T315-T45",8.5,2.5,8.5,14.5,753.15625,0.5,0.15,0,-1.03643338949379,1.03643338949379,"Constant","Variable","Mandarin",2.03
103,"Low","ssdv","T33-T241",1.5,1.5,15.5,14.5,669.41935483871,0.09,0.09,-1.34075503369022,-1.34075503369022,0,"Constant","Variable","Mandarin",0
103,"Low","ssdv","T33-T45",16.5,2.5,0.5,14.5,862.9375,0.97,0.15,1.88079360815125,-1.03643338949379,2.91722699764504,"Constant","Variable","Mandarin",4.7
103,"Low","sssv","T315-T45",8.5,1.5,8.5,15.5,810.3125,0.5,0.09,0,-1.34075503369022,1.34075503369022,"Constant","Constant","Mandarin",2.4
103,"Low","sssv","T33-T241",4.5,1.5,12.5,15.5,544.59375,0.26,0.09,-0.643345405392917,-1.34075503369022,0.6974096282973,"Constant","Constant","Mandarin",1.47
103,"Low","sssv","T33-T45",15.5,2.5,1.5,14.5,764.0625,0.91,0.15,1.34075503369022,-1.03643338949379,2.37718842318401,"Constant","Constant","Mandarin",3.93
104,"High","dsdv","T315-T45",11.5,3.5,5.5,13.5,759.25,0.68,0.21,0.467698799114508,-0.80642124701824,1.27412004613275,"Variable","Variable","Mandarin",2.43
104,"High","dsdv","T33-T241",3.5,1.5,12.5,15.5,571.354838709677,0.22,0.09,-0.772193214188685,-1.34075503369022,0.568561819501532,"Variable","Variable","Mandarin",1.28
104,"High","dsdv","T33-T45",14.5,2.5,2.5,14.5,652.71875,0.85,0.15,1.03643338949379,-1.03643338949379,2.07286677898758,"Variable","Variable","Mandarin",3.5
104,"High","dssv","T315-T45",11.5,7.5,5.5,9.5,651.65625,0.68,0.44,0.467698799114508,-0.150969215496777,0.618668014611286,"Variable","Constant","Mandarin",1.65
104,"High","dssv","T33-T241",5.5,2.5,11.5,14.5,502.8125,0.32,0.15,-0.467698799114508,-1.03643338949379,0.568734590379281,"Variable","Constant","Mandarin",1.34
104,"High","dssv","T33-T45",14.5,1.5,2.5,15.5,599.375,0.85,0.09,1.03643338949379,-1.34075503369022,2.37718842318401,"Variable","Constant","Mandarin",3.86
104,"High","ssdv","T315-T45",11.5,2.5,5.5,14.5,688.90625,0.68,0.15,0.467698799114508,-1.03643338949379,1.5041321886083,"Constant","Variable","Mandarin",2.7
104,"High","ssdv","T33-T241",5.5,1.5,11.5,15.5,488.46875,0.32,0.09,-0.467698799114508,-1.34075503369022,0.873056234575708,"Constant","Variable","Mandarin",1.73
104,"High","ssdv","T33-T45",15.5,1.5,1.5,15.5,504.25,0.91,0.09,1.34075503369022,-1.34075503369022,2.68151006738043,"Constant","Variable","Mandarin",4.29
104,"High","sssv","T315-T45",14.5,0.5,2.5,16.5,752.875,0.85,0.03,1.03643338949379,-1.88079360815125,2.91722699764504,"Constant","Constant","Mandarin",4.53
104,"High","sssv","T33-T241",4.5,1.5,12.5,15.5,696.375,0.26,0.09,-0.643345405392917,-1.34075503369022,0.6974096282973,"Constant","Constant","Mandarin",1.47
104,"High","sssv","T33-T45",16.5,0.5,0.5,16.5,760.5,0.97,0.03,1.88079360815125,-1.88079360815125,3.7615872163025,"Constant","Constant","Mandarin",5.73
105,"High","dsdv","T315-T45",12.5,5.5,4.5,11.5,958.28125,0.74,0.32,0.643345405392917,-0.467698799114508,1.11104420450742,"Variable","Variable","Mandarin",2.3
105,"High","dsdv","T33-T241",9.5,3.5,7.5,13.5,929.40625,0.56,0.21,0.150969215496777,-0.80642124701824,0.957390462515018,"Variable","Variable","Mandarin",1.97
105,"High","dsdv","T33-T45",15.5,5.5,1.5,11.5,890.65625,0.91,0.32,1.34075503369022,-0.467698799114508,1.80845383280472,"Variable","Variable","Mandarin",3.3
105,"High","dssv","T315-T45",11.5,4.5,5.5,12.5,955.46875,0.68,0.26,0.467698799114508,-0.643345405392917,1.11104420450743,"Variable","Constant","Mandarin",2.24
105,"High","dssv","T33-T241",7.5,3.5,9.5,13.5,1108.125,0.44,0.21,-0.150969215496777,-0.80642124701824,0.655452031521463,"Variable","Constant","Mandarin",1.52
105,"High","dssv","T33-T45",16.5,7.5,0.5,9.5,802.78125,0.97,0.44,1.88079360815125,-0.150969215496777,2.03176282364803,"Variable","Constant","Mandarin",3.75
105,"High","ssdv","T315-T45",10.5,1.5,6.5,13.5,908.7,0.62,0.1,0.305480788099397,-1.2815515655446,1.587032353644,"Constant","Variable","Mandarin",2.76
105,"High","ssdv","T33-T241",5.5,2.5,11.5,14.5,651.1875,0.32,0.15,-0.467698799114508,-1.03643338949379,0.568734590379281,"Constant","Variable","Mandarin",1.34
105,"High","ssdv","T33-T45",15.5,1.5,1.5,15.5,859.96875,0.91,0.09,1.34075503369022,-1.34075503369022,2.68151006738043,"Constant","Variable","Mandarin",4.29
105,"High","sssv","T315-T45",11.5,1.5,4.5,15.5,933.290322580645,0.72,0.09,0.582841507271216,-1.34075503369022,1.92359654096143,"Constant","Constant","Mandarin",3.22
105,"High","sssv","T33-T241",7.5,0.5,9.5,16.5,651.9375,0.44,0.03,-0.150969215496777,-1.88079360815125,1.72982439265447,"Constant","Constant","Mandarin",2.86
105,"High","sssv","T33-T45",16.5,0.5,0.5,16.5,743.625,0.97,0.03,1.88079360815125,-1.88079360815125,3.7615872163025,"Constant","Constant","Mandarin",5.73
106,"Low","dsdv","T315-T45",7.5,3.5,9.5,13.5,941.96875,0.44,0.21,-0.150969215496777,-0.80642124701824,0.655452031521463,"Variable","Variable","Mandarin",1.52
106,"Low","dsdv","T33-T241",11.5,10.5,5.5,5.5,902.967741935484,0.68,0.66,0.467698799114508,0.412463129441405,0.0552356696731035,"Variable","Variable","Mandarin",0.51
106,"Low","dsdv","T33-T45",13.5,6.5,3.5,10.5,977.125,0.79,0.38,0.80642124701824,-0.305480788099397,1.11190203511764,"Variable","Variable","Mandarin",2.36
106,"Low","dssv","T315-T45",11.5,6.5,5.5,10.5,836.09375,0.68,0.38,0.467698799114508,-0.305480788099397,0.773179587213906,"Variable","Constant","Mandarin",1.85
106,"Low","dssv","T33-T241",11.5,10.5,4.5,6.5,865.677419354839,0.72,0.62,0.582841507271216,0.305480788099397,0.277360719171819,"Variable","Constant","Mandarin",1.15
106,"Low","dssv","T33-T45",11.5,3.5,5.5,13.5,916.625,0.68,0.21,0.467698799114508,-0.80642124701824,1.27412004613275,"Variable","Constant","Mandarin",2.43
106,"Low","ssdv","T315-T45",6.5,1.5,10.5,15.5,1096.125,0.38,0.09,-0.305480788099397,-1.34075503369022,1.03527424559082,"Constant","Variable","Mandarin",1.96
106,"Low","ssdv","T33-T241",9.5,4.5,7.5,12.5,1114.9375,0.56,0.26,0.150969215496777,-0.643345405392917,0.794314620889694,"Constant","Variable","Mandarin",1.78
106,"Low","ssdv","T33-T45",11.5,4.5,5.5,12.5,1063.3125,0.68,0.26,0.467698799114508,-0.643345405392917,1.11104420450743,"Constant","Variable","Mandarin",2.24
106,"Low","sssv","T315-T45",12.5,6.5,4.5,10.5,867.78125,0.74,0.38,0.643345405392917,-0.305480788099397,0.948826193492314,"Constant","Constant","Mandarin",2.11
106,"Low","sssv","T33-T241",9.5,5.5,7.5,11.5,754.875,0.56,0.32,0.150969215496777,-0.467698799114508,0.618668014611286,"Constant","Constant","Mandarin",1.56
106,"Low","sssv","T33-T45",11.5,2.5,5.5,14.5,811.90625,0.68,0.15,0.467698799114508,-1.03643338949379,1.5041321886083,"Constant","Constant","Mandarin",2.7
107,"High","dsdv","T315-T45",1.5,1.5,15.5,15.5,422.5625,0.09,0.09,-1.34075503369022,-1.34075503369022,0,"Variable","Variable","Mandarin",0
107,"High","dsdv","T33-T241",4.5,1.5,12.5,15.5,446.90625,0.26,0.09,-0.643345405392917,-1.34075503369022,0.6974096282973,"Variable","Variable","Mandarin",1.47
107,"High","dsdv","T33-T45",16.5,1.5,0.5,15.5,348.96875,0.97,0.09,1.88079360815125,-1.34075503369022,3.22154864184147,"Variable","Variable","Mandarin",5.06
107,"High","dssv","T315-T45",8.5,2.5,8.5,14.5,581.15625,0.5,0.15,0,-1.03643338949379,1.03643338949379,"Variable","Constant","Mandarin",2.03
107,"High","dssv","T33-T241",8.5,3.5,8.5,13.5,373.1875,0.5,0.21,0,-0.80642124701824,0.80642124701824,"Variable","Constant","Mandarin",1.75
107,"High","dssv","T33-T45",16.5,0.5,0.5,16.5,361.28125,0.97,0.03,1.88079360815125,-1.88079360815125,3.7615872163025,"Variable","Constant","Mandarin",5.73
107,"High","ssdv","T315-T45",5.5,1.5,10.5,15.5,643.41935483871,0.34,0.09,-0.412463129441405,-1.34075503369022,0.928291904248812,"Constant","Variable","Mandarin",1.81
107,"High","ssdv","T33-T241",7.5,1.5,9.5,15.5,423.21875,0.44,0.09,-0.150969215496777,-1.34075503369022,1.18978581819344,"Constant","Variable","Mandarin",2.18
107,"High","ssdv","T33-T45",16.5,2.5,0.5,14.5,361.5625,0.97,0.15,1.88079360815125,-1.03643338949379,2.91722699764504,"Constant","Variable","Mandarin",4.7
107,"High","sssv","T315-T45",8.5,1.5,8.5,15.5,536.09375,0.5,0.09,0,-1.34075503369022,1.34075503369022,"Constant","Constant","Mandarin",2.4
