ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	fileA	fileX	insprac.ACC	insprac.CRESP	insprac.DurationError	insprac.OnsetDelay	insprac.OnsetTime	insprac.OnsetToOnsetTime	insprac.RESP	insprac.RT	insprac.RTTime	praclist	praclist.Cycle	praclist.Sample	pracX.ACC	pracX.CRESP	pracX.DurationError	pracX.OnsetDelay	pracX.OnsetTime	pracX.RESP	pracX.RT	pracX.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	speakerx[Block]	syllable[Block]	syllablex[Block]	token[Block]	tokenx[Block]	tone[Block]	tonex[Block]	Trial	block1a	block1a.Cycle	block1a.Sample	block1b	block1b.Cycle	block1b.Sample	block2a	block2a.Cycle	block2a.Sample	block2b	block2b.Cycle	block2b.Sample	block3a	block3a.Cycle	block3a.Sample	block3b	block3b.Cycle	block3b.Sample	block4a	block4a.Cycle	block4a.Sample	block4b	block4b.Cycle	block4b.Sample	block5a	block5a.Cycle	block5a.Sample	block5b	block5b.Cycle	block5b.Sample	block6a	block6a.Cycle	block6a.Sample	block6b	block6b.Cycle	block6b.Sample	block7a	block7a.Cycle	block7a.Sample	block7b	block7b.Cycle	block7b.Sample	block8a	block8a.Cycle	block8a.Sample	block8b	block8b.Cycle	block8b.Sample	condition	exX.ACC	exX.CRESP	exX.DurationError	exX.OnsetDelay	exX.OnsetTime	exX.RESP	exX.RT	exX.RTTime	insexp.ACC	insexp.CRESP	insexp.DurationError	insexp.OnsetDelay	insexp.OnsetTime	insexp.OnsetToOnsetTime	insexp.RESP	insexp.RT	insexp.RTTime	item	Procedure[Trial]	Running[Trial]	sounda	soundx	speaker[Trial]	speakerx[Trial]	syllable[Trial]	syllablex[Trial]	talkerpair	token[Trial]	tokenx[Trial]	tone[Trial]	tonepair	tonex[Trial]	vowel
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									3							5	1	3																																								AB	0	z	0	-1	88663		0	0	0		0	0	89663	0	z	246	89909	5	exproc	block2a	Thai_F2_maa21-1	Thai_F2_mii33-1	F2	F2	maa	mii	f2f2	1	1	21	21-33	33	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									4							6	1	4																																								BA	0	z	0	-1	94028		0	0	0		0	0	95028	0	m	267	95295	6	exproc	block2a	Thai_F2_maa33-1	Thai_F2_mii21-1	F2	F2	maa	mii	f2f2	1	1	33	21-33	21	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									5							8	1	5																																								BB	0	z	0	-1	99393		0	0	0		0	0	100393	0	z	254	100647	8	exproc	block2a	Thai_F2_maa33-1	Thai_F2_mii33-1	F2	F2	maa	mii	f2f2	1	1	33	21-33	33	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									6							11	1	6																																								AA	0	z	0	-1	104758		0	0	0		0	0	105758	0	z	290	106048	11	exproc	block2a	Thai_F2_maa21-2	Thai_F2_mii21-2	F2	F2	maa	mii	f2f2	2	2	21	21-241	21	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									7							10	1	7																																								BA	0	z	0	-1	110157		0	0	0		0	0	111157	0	m	374	111531	10	exproc	block2a	Thai_F2_maa241-2	Thai_F2_mii21-2	F2	F2	maa	mii	f2f2	2	2	241	21-241	21	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									8							13	1	8																																								AB	0	z	0	-1	115638		0	0	0		0	0	116638	0	m	378	117016	13	exproc	block2a	Thai_F2_maa21-2	Thai_F2_mii33-2	F2	F2	maa	mii	f2f2	2	2	21	21-33	33	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									9							7	1	9																																								AA	0	z	0	-1	121137		0	0	0		0	0	122137	0	m	1047	123184	7	exproc	block2a	Thai_F2_maa21-1	Thai_F2_mii21-1	F2	F2	maa	mii	f2f2	1	1	21	21-33	21	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									10							3	1	10																																								AA	0	z	0	-1	127268		0	0	0		0	0	128268	0	z	586	128854	3	exproc	block2a	Thai_F2_maa21-1	Thai_F2_mii21-1	F2	F2	maa	mii	f2f2	1	1	21	21-241	21	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									11							14	1	11																																								BA	0	z	0	-1	132950		0	0	0		0	0	133950	0	m	323	134273	14	exproc	block2a	Thai_F2_maa33-2	Thai_F2_mii21-2	F2	F2	maa	mii	f2f2	2	2	33	21-33	21	ai
Dis_main_chinese_2000ms_session2	102	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742490</Frequency><Timestamp dt:dt="r8">15478808428</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T01:25:37Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Dis_main_chinese_2000ms_session2-102-1	60.019	1.0.0.79	1	-1700509464	Professional	2.0.10.353	2.0.10.353	07-17-2018	17-Jul-18 1:25:38 AM	11:25:38	2.0.10.248	9	2	1	1																							block2	explist									12							15	1	12																																								AA	0	z	0	-1	138365		0	0	0		0	0	139365	0	m	202	139567	15	exproc	block2a	Thai_F2_maa21-2	Thai_F2_mii21-2	F2	F2	maa	mii	f2f2	2	2	21	21-33	21	ai
