Item no.,Condition,Vowel pair,Tone_contrast,speakerA,syllable,tone,token,filenameA,speakerX,syllable,tone,token,filenameX,block_con,block_no
209,AB,a-a,33-241,F2,maa,33,2,Thai_F2_maa33-2,F4,maa,241,2,Thai_F4_maa241-2,block5a,17
210,BA,a-a,33-241,F2,maa,241,2,Thai_F2_maa241-2,F4,maa,33,2,Thai_F4_maa33-2,block5a,18
211,AA,a-a,33-241,F2,maa,33,2,Thai_F2_maa33-2,F4,maa,33,2,Thai_F4_maa33-2,block5a,19
212,BB,a-a,33-241,F2,maa,241,2,Thai_F2_maa241-2,F4,maa,241,2,Thai_F4_maa241-2,block5a,20
213,AB,a-a,33-45,F2,maa,33,2,Thai_F2_maa33-2,F4,maa,45,2,Thai_F4_maa45-2,block5a,21
214,BA,a-a,33-45,F2,maa,45,2,Thai_F2_maa45-2,F4,maa,33,2,Thai_F4_maa33-2,block5a,22
215,AA,a-a,33-45,F2,maa,33,2,Thai_F2_maa33-2,F4,maa,33,2,Thai_F4_maa33-2,block5a,23
216,BB,a-a,33-45,F2,maa,45,2,Thai_F2_maa45-2,F4,maa,45,2,Thai_F4_maa45-2,block5a,24
217,AB,i-i,315-45,F2,mii,315,1,Thai_F2_mii315-1,F4,mii,45,1,Thai_F4_mii45-1,block5b,1
218,BA,i-i,315-45,F2,mii,45,1,Thai_F2_mii45-1,F4,mii,315,1,Thai_F4_mii315-1,block5b,2
219,AA,i-i,315-45,F2,mii,315,1,Thai_F2_mii315-1,F4,mii,315,1,Thai_F4_mii315-1,block5b,3
220,BB,i-i,315-45,F2,mii,45,1,Thai_F2_mii45-1,F4,mii,45,1,Thai_F4_mii45-1,block5b,4
221,AB,i-i,33-241,F2,mii,33,1,Thai_F2_mii33-1,F4,mii,241,1,Thai_F4_mii241-1,block5b,5
222,BA,i-i,33-241,F2,mii,241,1,Thai_F2_mii241-1,F4,mii,33,1,Thai_F4_mii33-1,block5b,6
223,AA,i-i,33-241,F2,mii,33,1,Thai_F2_mii33-1,F4,mii,33,1,Thai_F4_mii33-1,block5b,7
224,BB,i-i,33-241,F2,mii,241,1,Thai_F2_mii241-1,F4,mii,241,1,Thai_F4_mii241-1,block5b,8
225,AB,i-i,33-45,F2,mii,33,1,Thai_F2_mii33-1,F4,mii,45,1,Thai_F4_mii45-1,block5b,9
226,BA,i-i,33-45,F2,mii,45,1,Thai_F2_mii45-1,F4,mii,33,1,Thai_F4_mii33-1,block5b,10
227,AA,i-i,33-45,F2,mii,33,1,Thai_F2_mii33-1,F4,mii,33,1,Thai_F4_mii33-1,block5b,11
228,BB,i-i,33-45,F2,mii,45,1,Thai_F2_mii45-1,F4,mii,45,1,Thai_F4_mii45-1,block5b,12
229,AB,i-i,315-45,F2,mii,315,2,Thai_F2_mii315-2,F4,mii,45,2,Thai_F4_mii45-2,block5b,13
230,BA,i-i,315-45,F2,mii,45,2,Thai_F2_mii45-2,F4,mii,315,2,Thai_F4_mii315-2,block5b,14
231,AA,i-i,315-45,F2,mii,315,2,Thai_F2_mii315-2,F4,mii,315,2,Thai_F4_mii315-2,block5b,15
232,BB,i-i,315-45,F2,mii,45,2,Thai_F2_mii45-2,F4,mii,45,2,Thai_F4_mii45-2,block5b,16
233,AB,i-i,33-241,F2,mii,33,2,Thai_F2_mii33-2,F4,mii,241,2,Thai_F4_mii241-2,block5b,17
234,BA,i-i,33-241,F2,mii,241,2,Thai_F2_mii241-2,F4,mii,33,2,Thai_F4_mii33-2,block5b,18
235,AA,i-i,33-241,F2,mii,33,2,Thai_F2_mii33-2 ,F4,mii,33,2,Thai_F4_mii33-2,block5b,19
236,BB,i-i,33-241,F2,mii,241,2,Thai_F2_mii241-2,F4,mii,241,2,Thai_F4_mii241-2,block5b,20
237,AB,i-i,33-45,F2,mii,33,2,Thai_F2_mii33-2,F4,mii,45,2,Thai_F4_mii45-2,block5b,21
238,BA,i-i,33-45,F2,mii,45,2,Thai_F2_mii45-2,F4,mii,33,2,Thai_F4_mii33-2,block5b,22
239,AA,i-i,33-45,F2,mii,33,2,Thai_F2_mii33-2,F4,mii,33,2,Thai_F4_mii33-2,block5b,23
240,BB,i-i,33-45,F2,mii,45,2,Thai_F2_mii45-2,F4,mii,45,2,Thai_F4_mii45-2,block5b,24
241,AB,a-i,315-45,F2,maa,315,1,Thai_F2_maa315-1,F4,mii,45,1,Thai_F4_mii45-1,block6a,1
242,BA,a-i,315-45,F2,maa,45,1,Thai_F2_maa45-1,F4,mii,315,1,Thai_F4_mii315-1,block6a,2
243,AA,a-i,315-45,F2,maa,315,1,Thai_F2_maa315-1,F4,mii,315,1,Thai_F4_mii315-1,block6a,3
244,BB,a-i,315-45,F2,maa,45,1,Thai_F2_maa45-1,F4,mii,45,1,Thai_F4_mii45-1,block6a,4
245,AB,a-i,33-241,F2,maa,33,1,Thai_F2_maa33-1,F4,mii,241,1,Thai_F4_mii241-1,block6a,5
246,BA,a-i,33-241,F2,maa,241,1,Thai_F2_maa241-1,F4,mii,33,1,Thai_F4_mii33-1,block6a,6
247,AA,a-i,33-241,F2,maa,33,1,Thai_F2_maa33-1,F4,mii,33,1,Thai_F4_mii33-1,block6a,7
248,BB,a-i,33-241,F2,maa,241,1,Thai_F2_maa241-1,F4,mii,241,1,Thai_F4_mii241-1,block6a,8
249,AB,a-i,33-45,F2,maa,33,1,Thai_F2_maa33-1,F4,mii,45,1,Thai_F4_mii45-1,block6a,9
250,BA,a-i,33-45,F2,maa,45,1,Thai_F2_maa45-1,F4,mii,33,1,Thai_F4_mii33-1,block6a,10
251,AA,a-i,33-45,F2,maa,33,1,Thai_F2_maa33-1,F4,mii,33,1,Thai_F4_mii33-1,block6a,11
252,BB,a-i,33-45,F2,maa,45,1,Thai_F2_maa45-1,F4,mii,45,1,Thai_F4_mii45-1,block6a,12
253,AB,a-i,315-45,F2,maa,315,2,Thai_F2_maa315-2,F4,mii,45,2,Thai_F4_mii45-2,block6a,13
254,BA,a-i,315-45,F2,maa,45,2,Thai_F2_maa45-2,F4,mii,315,2,Thai_F4_mii315-2,block6a,14
255,AA,a-i,315-45,F2,maa,315,2,Thai_F2_maa315-2,F4,mii,315,2,Thai_F4_mii315-2,block6a,15
256,BB,a-i,315-45,F2,maa,45,2,Thai_F2_maa45-2,F4,mii,45,2,Thai_F4_mii45-2,block6a,16
257,AB,a-i,33-241,F2,maa,33,2,Thai_F2_maa33-2,F4,mii,241,2,Thai_F4_mii241-2,block6a,17
258,BA,a-i,33-241,F2,maa,241,2,Thai_F2_maa241-2,F4,mii,33,2,Thai_F4_mii33-2,block6a,18
259,AA,a-i,33-241,F2,maa,33,2,Thai_F2_maa33-2,F4,mii,33,2,Thai_F4_mii33-2,block6a,19
260,BB,a-i,33-241,F2,maa,241,2,Thai_F2_maa241-2,F4,mii,241,2,Thai_F4_mii241-2,block6a,20
261,AB,a-i,33-45,F2,maa,33,2,Thai_F2_maa33-2,F4,mii,45,2,Thai_F4_mii45-2,block6a,21
262,BA,a-i,33-45,F2,maa,45,2,Thai_F2_maa45-2,F4,mii,33,2,Thai_F4_mii33-2,block6a,22
263,AA,a-i,33-45,F2,maa,33,2,Thai_F2_maa33-2,F4,mii,33,2,Thai_F4_mii33-2,block6a,23
264,BB,a-i,33-45,F2,maa,45,2,Thai_F2_maa45-2,F4,mii,45,2,Thai_F4_mii45-2,block6a,24
265,AB,i-a,315-45,F2,mii,315,1,Thai_F2_mii315-1,F4,maa,45,1,Thai_F4_maa45-1,block6b,1
266,BA,i-a,315-45,F2,mii,45,1,Thai_F2_mii45-1,F4,maa,315,1,Thai_F4_maa315-1,block6b,2
267,AA,i-a,315-45,F2,mii,315,1,Thai_F2_mii315-1,F4,maa,315,1,Thai_F4_maa315-1,block6b,3
268,BB,i-a,315-45,F2,mii,45,1,Thai_F2_mii45-1,F4,maa,45,1,Thai_F4_maa45-1,block6b,4
269,AB,i-a,33-241,F2,mii,33,1,Thai_F2_mii33-1,F4,maa,241,1,Thai_F4_maa241-1,block6b,5
270,BA,i-a,33-241,F2,mii,241,1,Thai_F2_mii241-1,F4,maa,33,1,Thai_F4_maa33-1,block6b,6
271,AA,i-a,33-241,F2,mii,33,1,Thai_F2_mii33-1,F4,maa,33,1,Thai_F4_maa33-1,block6b,7
272,BB,i-a,33-241,F2,mii,241,1,Thai_F2_mii241-1,F4,maa,241,1,Thai_F4_maa241-1,block6b,8
273,AB,i-a,33-45,F2,mii,33,1,Thai_F2_mii33-1,F4,maa,45,1,Thai_F4_maa45-1,block6b,9
274,BA,i-a,33-45,F2,mii,45,1,Thai_F2_mii45-1,F4,maa,33,1,Thai_F4_maa33-1,block6b,10
275,AA,i-a,33-45,F2,mii,33,1,Thai_F2_mii33-1,F4,maa,33,1,Thai_F4_maa33-1,block6b,11
276,BB,i-a,33-45,F2,mii,45,1,Thai_F2_mii45-1,F4,maa,45,1,Thai_F4_maa45-1,block6b,12
277,AB,i-a,315-45,F2,mii,315,2,Thai_F2_mii315-2,F4,maa,45,2,Thai_F4_maa45-2,block6b,13
278,BA,i-a,315-45,F2,mii,45,2,Thai_F2_mii45-2,F4,maa,315,2,Thai_F4_maa315-2,block6b,14
279,AA,i-a,315-45,F2,mii,315,2,Thai_F2_mii315-2,F4,maa,315,2,Thai_F4_maa315-2,block6b,15
280,BB,i-a,315-45,F2,mii,45,2,Thai_F2_mii45-2,F4,maa,45,2,Thai_F4_maa45-2,block6b,16
281,AB,i-a,33-241,F2,mii,33,2,Thai_F2_mii33-2,F4,maa,241,2,Thai_F4_maa241-2,block6b,17
282,BA,i-a,33-241,F2,mii,241,2,Thai_F2_mii241-2,F4,maa,33,2,Thai_F4_maa33-2,block6b,18
283,AA,i-a,33-241,F2,mii,33,2,Thai_F2_mii33-2,F4,maa,33,2,Thai_F4_maa33-2,block6b,19
284,BB,i-a,33-241,F2,mii,241,2,Thai_F2_mii241-2,F4,maa,241,2,Thai_F4_maa241-2,block6b,20
285,AB,i-a,33-45,F2,mii,33,2,Thai_F2_mii33-2,F4,maa,45,2,Thai_F4_maa45-2,block6b,21
286,BA,i-a,33-45,F2,mii,45,2,Thai_F2_mii45-2,F4,maa,33,2,Thai_F4_maa33-2,block6b,22
287,AA,i-a,33-45,F2,mii,33,2,Thai_F2_mii33-2,F4,maa,33,2,Thai_F4_maa33-2,block6b,23
288,BB,i-a,33-45,F2,mii,45,2,Thai_F2_mii45-2,F4,maa,45,2,Thai_F4_maa45-2,block6b,24
289,AB,a-a,315-45,F4,maa,45,1,Thai_F4_maa45-1,F2,maa,315,1,Thai_F2_maa315-1,block7a,1
290,BA,a-a,315-45,F4,maa,315,1,Thai_F4_maa315-1,F2,maa,45,1,Thai_F2_maa45-1,block7a,2
291,AA,a-a,315-45,F4,maa,315,1,Thai_F4_maa315-1,F2,maa,315,1,Thai_F2_maa315-1,block7a,3
292,BB,a-a,315-45,F4,maa,45,1,Thai_F4_maa45-1,F2,maa,45,1,Thai_F2_maa45-1,block7a,4
293,AB,a-a,33-241,F4,maa,241,1,Thai_F4_maa241-1,F2,maa,33,1,Thai_F2_maa33-1,block7a,5
294,BA,a-a,33-241,F4,maa,33,1,Thai_F4_maa33-1,F2,maa,241,1,Thai_F2_maa241-1,block7a,6
295,AA,a-a,33-241,F4,maa,33,1,Thai_F4_maa33-1,F2,maa,33,1,Thai_F2_maa33-1,block7a,7
296,BB,a-a,33-241,F4,maa,241,1,Thai_F4_maa241-1,F2,maa,241,1,Thai_F2_maa241-1,block7a,8
297,AB,a-a,33-45,F4,maa,45,1,Thai_F4_maa45-1,F2,maa,33,1,Thai_F2_maa33-1,block7a,9
298,BA,a-a,33-45,F4,maa,33,1,Thai_F4_maa33-1,F2,maa,45,1,Thai_F2_maa45-1,block7a,10
299,AA,a-a,33-45,F4,maa,33,1,Thai_F4_maa33-1,F2,maa,33,1,Thai_F2_maa33-1,block7a,11
300,BB,a-a,33-45,F4,maa,45,1,Thai_F4_maa45-1,F2,maa,45,1,Thai_F2_maa45-1,block7a,12
301,AB,a-a,315-45,F4,maa,45,2,Thai_F4_maa45-2,F2,maa,315,2,Thai_F2_maa315-2,block7a,13
302,BA,a-a,315-45,F4,maa,315,2,Thai_F4_maa315-2,F2,maa,45,2,Thai_F2_maa45-2,block7a,14
303,AA,a-a,315-45,F4,maa,315,2,Thai_F4_maa315-2,F2,maa,315,2,Thai_F2_maa315-2,block7a,15
304,BB,a-a,315-45,F4,maa,45,2,Thai_F4_maa45-2,F2,maa,45,2,Thai_F2_maa45-2,block7a,16
305,AB,a-a,33-241,F4,maa,241,2,Thai_F4_maa241-2,F2,maa,33,2,Thai_F2_maa33-2,block7a,17
306,BA,a-a,33-241,F4,maa,33,2,Thai_F4_maa33-2,F2,maa,241,2,Thai_F2_maa241-2,block7a,18
307,AA,a-a,33-241,F4,maa,33,2,Thai_F4_maa33-2,F2,maa,33,2,Thai_F2_maa33-2,block7a,19
308,BB,a-a,33-241,F4,maa,241,2,Thai_F4_maa241-2,F2,maa,241,2,Thai_F2_maa241-2,block7a,20
309,AB,a-a,33-45,F4,maa,45,2,Thai_F4_maa45-2,F2,maa,33,2,Thai_F2_maa33-2,block7a,21
310,BA,a-a,33-45,F4,maa,33,2,Thai_F4_maa33-2,F2,maa,45,2,Thai_F2_maa45-2,block7a,22
311,AA,a-a,33-45,F4,maa,33,2,Thai_F4_maa33-2,F2,maa,33,2,Thai_F2_maa33-2,block7a,23
312,BB,a-a,33-45,F4,maa,45,2,Thai_F4_maa45-2,F2,maa,45,2,Thai_F2_maa45-2,block7a,24
313,AB,i-i,315-45,F4,mii,45,1,Thai_F4_mii45-1,F2,mii,315,1,Thai_F2_mii315-1,block7b,1
314,BA,i-i,315-45,F4,mii,315,1,Thai_F4_mii315-1,F2,mii,45,1,Thai_F2_mii45-1,block7b,2
315,AA,i-i,315-45,F4,mii,315,1,Thai_F4_mii315-1,F2,mii,315,1,Thai_F2_mii315-1,block7b,3
316,BB,i-i,315-45,F4,mii,45,1,Thai_F4_mii45-1,F2,mii,45,1,Thai_F2_mii45-1,block7b,4
317,AB,i-i,33-241,F4,mii,241,1,Thai_F4_mii241-1,F2,mii,33,1,Thai_F2_mii33-1,block7b,5
318,BA,i-i,33-241,F4,mii,33,1,Thai_F4_mii33-1,F2,mii,241,1,Thai_F2_mii241-1,block7b,6
319,AA,i-i,33-241,F4,mii,33,1,Thai_F4_mii33-1,F2,mii,33,1,Thai_F2_mii33-1,block7b,7
320,BB,i-i,33-241,F4,mii,241,1,Thai_F4_mii241-1,F2,mii,241,1,Thai_F2_mii241-1,block7b,8
321,AB,i-i,33-45,F4,mii,45,1,Thai_F4_mii45-1,F2,mii,33,1,Thai_F2_mii33-1,block7b,9
322,BA,i-i,33-45,F4,mii,33,1,Thai_F4_mii33-1,F2,mii,45,1,Thai_F2_mii45-1,block7b,10
323,AA,i-i,33-45,F4,mii,33,1,Thai_F4_mii33-1,F2,mii,33,1,Thai_F2_mii33-1,block7b,11
324,BB,i-i,33-45,F4,mii,45,1,Thai_F4_mii45-1,F2,mii,45,1,Thai_F2_mii45-1,block7b,12
325,AB,i-i,315-45,F4,mii,45,2,Thai_F4_mii45-2,F2,mii,315,2,Thai_F2_mii315-2,block7b,13
326,BA,i-i,315-45,F4,mii,315,2,Thai_F4_mii315-2,F2,mii,45,2,Thai_F2_mii45-2,block7b,14
327,AA,i-i,315-45,F4,mii,315,2,Thai_F4_mii315-2,F2,mii,315,2,Thai_F2_mii315-2,block7b,15
328,BB,i-i,315-45,F4,mii,45,2,Thai_F4_mii45-2,F2,mii,45,2,Thai_F2_mii45-2,block7b,16
329,AB,i-i,33-241,F4,mii,241,2,Thai_F4_mii241-2,F2,mii,33,2,Thai_F2_mii33-2,block7b,17
330,BA,i-i,33-241,F4,mii,33,2,Thai_F4_mii33-2,F2,mii,241,2,Thai_F2_mii241-2,block7b,18
331,AA,i-i,33-241,F4,mii,33,2,Thai_F4_mii33-2,F2,mii,33,2,Thai_F2_mii33-2,block7b,19
332,BB,i-i,33-241,F4,mii,241,2,Thai_F4_mii241-2,F2,mii,241,2,Thai_F2_mii241-2,block7b,20
333,AB,i-i,33-45,F4,mii,45,2,Thai_F4_mii45-2,F2,mii,33,2,Thai_F2_mii33-2,block7b,21
334,BA,i-i,33-45,F4,mii,33,2,Thai_F4_mii33-2,F2,mii,45,2,Thai_F2_mii45-2,block7b,22
335,AA,i-i,33-45,F4,mii,33,2,Thai_F4_mii33-2,F2,mii,33,2,Thai_F2_mii33-2,block7b,23
336,BB,i-i,33-45,F4,mii,45,2,Thai_F4_mii45-2,F2,mii,45,2,Thai_F2_mii45-2,block7b,24
337,AB,a-i,315-45,F4,mii,45,1,Thai_F4_mii45-1,F2,maa,315,1,Thai_F2_maa315-1,block8a,1
338,BA,a-i,315-45,F4,mii,315,1,Thai_F4_mii315-1,F2,maa,45,1,Thai_F2_maa45-1,block8a,2
339,AA,a-i,315-45,F4,mii,315,1,Thai_F4_mii315-1,F2,maa,315,1,Thai_F2_maa315-1,block8a,3
340,BB,a-i,315-45,F4,mii,45,1,Thai_F4_mii45-1,F2,maa,45,1,Thai_F2_maa45-1,block8a,4
341,AB,a-i,33-241,F4,mii,241,1,Thai_F4_mii241-1,F2,maa,33,1,Thai_F2_maa33-1,block8a,5
342,BA,a-i,33-241,F4,mii,33,1,Thai_F4_mii33-1,F2,maa,241,1,Thai_F2_maa241-1,block8a,6
343,AA,a-i,33-241,F4,mii,33,1,Thai_F4_mii33-1,F2,maa,33,1,Thai_F2_maa33-1,block8a,7
344,BB,a-i,33-241,F4,mii,241,1,Thai_F4_mii241-1,F2,maa,241,1,Thai_F2_maa241-1,block8a,8
345,AB,a-i,33-45,F4,mii,45,1,Thai_F4_mii45-1,F2,maa,33,1,Thai_F2_maa33-1,block8a,9
346,BA,a-i,33-45,F4,mii,33,1,Thai_F4_mii33-1,F2,maa,45,1,Thai_F2_maa45-1,block8a,10
347,AA,a-i,33-45,F4,mii,33,1,Thai_F4_mii33-1,F2,maa,33,1,Thai_F2_maa33-1,block8a,11
348,BB,a-i,33-45,F4,mii,45,1,Thai_F4_mii45-1,F2,maa,45,1,Thai_F2_maa45-1,block8a,12
349,AB,a-i,315-45,F4,mii,45,2,Thai_F4_mii45-2,F2,maa,315,2,Thai_F2_maa315-2,block8a,13
350,BA,a-i,315-45,F4,mii,315,2,Thai_F4_mii315-2,F2,maa,45,2,Thai_F2_maa45-2,block8a,14
351,AA,a-i,315-45,F4,mii,315,2,Thai_F4_mii315-2,F2,maa,315,2,Thai_F2_maa315-2,block8a,15
352,BB,a-i,315-45,F4,mii,45,2,Thai_F4_mii45-2,F2,maa,45,2,Thai_F2_maa45-2,block8a,16
353,AB,a-i,33-241,F4,mii,241,2,Thai_F4_mii241-2,F2,maa,33,2,Thai_F2_maa33-2,block8a,17
354,BA,a-i,33-241,F4,mii,33,2,Thai_F4_mii33-2,F2,maa,241,2,Thai_F2_maa241-2,block8a,18
355,AA,a-i,33-241,F4,mii,33,2,Thai_F4_mii33-2,F2,maa,33,2,Thai_F2_maa33-2,block8a,19
356,BB,a-i,33-241,F4,mii,241,2,Thai_F4_mii241-2,F2,maa,241,2,Thai_F2_maa241-2,block8a,20
357,AB,a-i,33-45,F4,mii,45,2,Thai_F4_mii45-2,F2,maa,33,2,Thai_F2_maa33-2,block8a,21
358,BA,a-i,33-45,F4,mii,33,2,Thai_F4_mii33-2,F2,maa,45,2,Thai_F2_maa45-2,block8a,22
359,AA,a-i,33-45,F4,mii,33,2,Thai_F4_mii33-2,F2,maa,33,2,Thai_F2_maa33-2,block8a,23
360,BB,a-i,33-45,F4,mii,45,2,Thai_F4_mii45-2,F2,maa,45,2,Thai_F2_maa45-2,block8a,24
361,AB,i-a,315-45,F4,maa,45,1,Thai_F4_maa45-1,F2,mii,315,1,Thai_F2_mii315-1,block8b,1
362,BA,i-a,315-45,F4,maa,315,1,Thai_F4_maa315-1,F2,mii,45,1,Thai_F2_mii45-1,block8b,2
363,AA,i-a,315-45,F4,maa,315,1,Thai_F4_maa315-1,F2,mii,315,1,Thai_F2_mii315-1,block8b,3
364,BB,i-a,315-45,F4,maa,45,1,Thai_F4_maa45-1,F2,mii,45,1,Thai_F2_mii45-1,block8b,4
365,AB,i-a,33-241,F4,maa,241,1,Thai_F4_maa241-1,F2,mii,33,1,Thai_F2_mii33-1,block8b,5
366,BA,i-a,33-241,F4,maa,33,1,Thai_F4_maa33-1,F2,mii,241,1,Thai_F2_mii241-1,block8b,6
367,AA,i-a,33-241,F4,maa,33,1,Thai_F4_maa33-1,F2,mii,33,1,Thai_F2_mii33-1,block8b,7
368,BB,i-a,33-241,F4,maa,241,1,Thai_F4_maa241-1,F2,mii,241,1,Thai_F2_mii241-1,block8b,8
369,AB,i-a,33-45,F4,maa,45,1,Thai_F4_maa45-1,F2,mii,33,1,Thai_F2_mii33-1,block8b,9
370,BA,i-a,33-45,F4,maa,33,1,Thai_F4_maa33-1,F2,mii,45,1,Thai_F2_mii45-1,block8b,10
371,AA,i-a,33-45,F4,maa,33,1,Thai_F4_maa33-1,F2,mii,33,1,Thai_F2_mii33-1,block8b,11
372,BB,i-a,33-45,F4,maa,45,1,Thai_F4_maa45-1,F2,mii,45,1,Thai_F2_mii45-1,block8b,12
373,AB,i-a,315-45,F4,maa,45,2,Thai_F4_maa45-2,F2,mii,315,2,Thai_F2_mii315-2,block8b,13
374,BA,i-a,315-45,F4,maa,315,2,Thai_F4_maa315-2,F2,mii,45,2,Thai_F2_mii45-2,block8b,14
375,AA,i-a,315-45,F4,maa,315,2,Thai_F4_maa315-2,F2,mii,315,2,Thai_F2_mii315-2,block8b,15
376,BB,i-a,315-45,F4,maa,45,2,Thai_F4_maa45-2,F2,mii,45,2,Thai_F2_mii45-2,block8b,16
377,AB,i-a,33-241,F4,maa,241,2,Thai_F4_maa241-2,F2,mii,33,2,Thai_F2_mii33-2,block8b,17
378,BA,i-a,33-241,F4,maa,33,2,Thai_F4_maa33-2,F2,mii,241,2,Thai_F2_mii241-2,block8b,18
379,AA,i-a,33-241,F4,maa,33,2,Thai_F4_maa33-2,F2,mii,33,2,Thai_F2_mii33-2,block8b,19
380,BB,i-a,33-241,F4,maa,241,2,Thai_F4_maa241-2,F2,mii,241,2,Thai_F2_mii241-2,block8b,20
381,AB,i-a,33-45,F4,maa,45,2,Thai_F4_maa45-2,F2,mii,33,2,Thai_F2_mii33-2,block8b,21
382,BA,i-a,33-45,F4,maa,33,2,Thai_F4_maa33-2,F2,mii,45,2,Thai_F2_mii45-2,block8b,22
383,AA,i-a,33-45,F4,maa,33,2,Thai_F4_maa33-2,F2,mii,33,2,Thai_F2_mii33-2,block8b,23
384,BB,i-a,33-45,F4,maa,45,2,Thai_F4_maa45-2,F2,mii,45,2,Thai_F2_mii45-2,block8b,24
