Item no.,Condition,Vowel pair,Tone_contrast,speakerA,syllable,tone,token,filenameA,speakerX,syllable,tone,token,filenameX,block_con,block_no
49,AB,a-i,315-45,F2,maa,315,1,Thai_F2_maa315-1,F2,mii,45,1,Thai_F2_mii45-1,block2a,1
50,BA,a-i,315-45,F2,maa,45,1,Thai_F2_maa45-1,F2,mii,315,1,Thai_F2_mii315-1,block2a,2
51,AA,a-i,315-45,F2,maa,315,1,Thai_F2_maa315-1,F2,mii,315,1,Thai_F2_mii315-1,block2a,3
52,BB,a-i,315-45,F2,maa,45,1,Thai_F2_maa45-1,F2,mii,45,1,Thai_F2_mii45-1,block2a,4
53,AB,a-i,33-241,F2,maa,33,1,Thai_F2_maa33-1,F2,mii,241,1,Thai_F2_mii241-1,block2a,5
54,BA,a-i,33-241,F2,maa,241,1,Thai_F2_maa241-1,F2,mii,33,1,Thai_F2_mii33-1,block2a,6
55,AA,a-i,33-241,F2,maa,33,1,Thai_F2_maa33-1,F2,mii,33,1,Thai_F2_mii33-1,block2a,7
56,BB,a-i,33-241,F2,maa,241,1,Thai_F2_maa241-1,F2,mii,241,1,Thai_F2_mii241-1,block2a,8
57,AB,a-i,33-45,F2,maa,33,1,Thai_F2_maa33-1,F2,mii,45,1,Thai_F2_mii45-1,block2a,9
58,BA,a-i,33-45,F2,maa,45,1,Thai_F2_maa45-1,F2,mii,33,1,Thai_F2_mii33-1,block2a,10
59,AA,a-i,33-45,F2,maa,33,1,Thai_F2_maa33-1,F2,mii,33,1,Thai_F2_mii33-1,block2a,11
60,BB,a-i,33-45,F2,maa,45,1,Thai_F2_maa45-1,F2,mii,45,1,Thai_F2_mii45-1,block2a,12
61,AB,a-i,315-45,F2,maa,315,2,Thai_F2_maa315-2,F2,mii,45,2,Thai_F2_mii45-2,block2a,13
62,BA,a-i,315-45,F2,maa,45,2,Thai_F2_maa45-2,F2,mii,315,2,Thai_F2_mii315-2,block2a,14
63,AA,a-i,315-45,F2,maa,315,2,Thai_F2_maa315-2,F2,mii,315,2,Thai_F2_mii315-2,block2a,15
64,BB,a-i,315-45,F2,maa,45,2,Thai_F2_maa45-2,F2,mii,45,2,Thai_F2_mii45-2,block2a,16
65,AB,a-i,33-241,F2,maa,33,2,Thai_F2_maa33-2,F2,mii,241,2,Thai_F2_mii241-2,block2a,17
66,BA,a-i,33-241,F2,maa,241,2,Thai_F2_maa241-2,F2,mii,33,2,Thai_F2_mii33-2,block2a,18
