ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	filename[Block]	praclist	praclist.Cycle	praclist.Sample	pracSlide1.ACC	pracSlide1.CRESP	pracSlide1.DurationError	pracSlide1.OnsetDelay	pracSlide1.OnsetTime	pracSlide1.OnsetToOnsetTime	pracSlide1.RESP	pracSlide1.RT	pracSlide1.RTTime	pracSoundOut1.ACC	pracSoundOut1.CRESP	pracSoundOut1.DurationError	pracSoundOut1.OnsetDelay	pracSoundOut1.OnsetTime	pracSoundOut1.RESP	pracSoundOut1.RT	pracSoundOut1.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	syllable[Block]	token[Block]	tone[Block]	Trial	f1List1	f1List1.Cycle	f1List1.Sample	f1List2	f1List2.Cycle	f1List2.Sample	f2List1	f2List1.Cycle	f2List1.Sample	f2List2	f2List2.Cycle	f2List2.Sample	filename[Trial]	Procedure[Trial]	Running[Trial]	Slide1.ACC	Slide1.CRESP	Slide1.DurationError	Slide1.OnsetDelay	Slide1.OnsetTime	Slide1.OnsetToOnsetTime	Slide1.RESP	Slide1.RT	Slide1.RTTime	SoundOut1.ACC	SoundOut1.CRESP	SoundOut1.DurationError	SoundOut1.OnsetDelay	SoundOut1.OnsetTime	SoundOut1.RESP	SoundOut1.RT	SoundOut1.RTTime	speaker[Trial]	syllable[Trial]	token[Trial]	tone[Trial]
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	11				Thai_F4_mii315-4	8	1	11	0		0	-1	236740	0	5	1238	237978	0		0	-1	232741	g	1867	234608	pracproc	praclist	F4	mii	4	315																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	12				Thai_F4_maa33-1	4	1	12	0		0	-1	245738	0	5	3074	248812	0		0	-1	241738	f	2029	243767	pracproc	praclist	F4	maa	1	33																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	13				Thai_F4_maa21-4	11	1	13	0		0	-1	254736	0	5	937	255673	0		0	-1	250736	h	1812	252548	pracproc	praclist	F4	maa	4	21																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	14				Thai_F4_maa33-5	14	1	14	0		0	0	263734	0	6	2785	266519	0		0	-1	259734	f	1898	261632	pracproc	praclist	F4	maa	5	33																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	15				Thai_F4_mii33-6	19	1	15	0		0	-1	272731	0	6	2474	275205	0		0	-1	268732	f	1141	269873	pracproc	praclist	F4	mii	6	33																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	16				Thai_F4_maa315-5	3	1	16	0		0	-1	281729	0	7	862	282591	0		0	-1	277729	g	1760	279489	pracproc	praclist	F4	maa	5	315																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	17				Thai_F4_maa241-6	12	1	17	0		0	-1	290727	0	5	2226	292953	0		0	-1	286727	f	3261	289988	pracproc	praclist	F4	maa	6	241																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	18				Thai_F4_maa21-1	1	1	18	0		0	0	299725	0	7	2744	302469	0		0	-1	295725	h	1538	297263	pracproc	praclist	F4	maa	1	21																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	19				Thai_F4_mii241-2	7	1	19	0		0	-1	308722	0	7	440	309162	0		0	-1	304723	j	910	305633	pracproc	praclist	F4	mii	2	241																																					
Assimilation_2b	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">15765959310</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-12-26T06:39:05Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assimilation_2b-101-1	60.015	1.0.0.62	1	-1413574928	Professional	2.0.10.353	2.0.10.353	12-26-2017	26-Dec-17 6:39:05 AM	17:39:05	2.0.10.248	20				Thai_F4_mii21-2	6	1	20	0		0	-1	317720	0	6	3357	321077	0		0	-1	313720	h	1119	314839	pracproc	praclist	F4	mii	2	21																																					
