Filename	TEXT
_Thai_F2_maa21-1	205.10404655899865
_Thai_F2_maa21-2	204.39044981130573
_Thai_F2_maa241-1	220.47403750734384
_Thai_F2_maa241-2	206.1803230902984
_Thai_F2_maa315-1	214.48781061848337
_Thai_F2_maa315-2	211.80990179610188
_Thai_F2_maa33-1	210.13530272681461
_Thai_F2_maa33-2	216.54087105766058
_Thai_F2_maa45-1	225.34116097529613
_Thai_F2_maa45-2	226.204898680027
_Thai_F2_mii21-1	199.81242037843148
_Thai_F2_mii21-2	195.79173222256395
_Thai_F2_mii241-1	241.7301762352122
_Thai_F2_mii241-2	231.64789778095223
_Thai_F2_mii315-1	239.91608684172303
_Thai_F2_mii315-2	228.17225471099835
_Thai_F2_mii33-1	220.8429409757083
_Thai_F2_mii33-2	213.07694821246085
_Thai_F2_mii45-1	248.77784933522594
_Thai_F2_mii45-2	240.12443424753317
_Thai_F4_maa21-1	192.2191178102143
_Thai_F4_maa21-2	189.77895841252294
_Thai_F4_maa241-1	249.33656067183787
_Thai_F4_maa241-2	242.64512679165847
_Thai_F4_maa315-1	200.346901064365
_Thai_F4_maa315-2	208.16983265053577
_Thai_F4_maa33-1	204.65118550309947
_Thai_F4_maa33-2	218.54295955234508
_Thai_F4_maa45-1	225.76920513012715
_Thai_F4_maa45-2	230.59766748761226
_Thai_F4_mii21-1	201.4024427318229
_Thai_F4_mii21-2	203.874347585471
_Thai_F4_mii241-1	257.9041678980157
_Thai_F4_mii241-2	270.14564012948466
_Thai_F4_mii315-1	217.21127788023946
_Thai_F4_mii315-2	232.12110941896455
_Thai_F4_mii33-1	230.11896506866634
_Thai_F4_mii33-2	226.02786083865075
_Thai_F4_mii45-1	260.2623502298924
_Thai_F4_mii45-2	264.3402499909821
