"id","F0","subject","language","Timepoint","tone","syllable","normF0"
"1",214.424585622953,"411","sv",1,"SV22","ma",0.0984505166925887
"1",208.086990788497,"411","sv",2,"SV22","ma",0.0667754155896131
"1",201.683795708328,"411","sv",3,"SV22","ma",0.0347724465068143
"1",195.032327782372,"411","sv",4,"SV22","ma",0.00152861749263478
"1",192.347481735398,"411","sv",5,"SV22","ma",-0.0118901592208078
"1",192.713007344423,"411","sv",6,"SV22","ma",-0.0100632736397586
"1",185.555421406394,"411","sv",7,"SV22","ma",-0.0458366646756886
"1",180.498529433404,"411","sv",8,"SV22","ma",-0.0711108528646225
"1",177.366666839291,"411","sv",9,"SV22","ma",-0.0867638043234014
"1",183.009381029228,"411","sv",10,"SV22","ma",-0.0585616949853748
"2",184.514982560606,"411","sv",1,"SV214","ma",-0.0510367455411625
"2",196.880115057883,"411","sv",2,"SV214","ma",0.0107638006019063
"2",187.552446798474,"411","sv",3,"SV214","ma",-0.0358555941194838
"2",174.846087947228,"411","sv",4,"SV214","ma",-0.0993615789255321
"2",173.973271566182,"411","sv",5,"SV214","ma",-0.103723887945925
"2",184.018040471888,"411","sv",6,"SV214","ma",-0.0535204465844785
"2",203.819962748647,"411","sv",7,"SV214","ma",0.0454489426764796
"2",230.994128346604,"411","sv",8,"SV214","ma",0.181264573872168
"2",258.799808500203,"411","sv",9,"SV214","ma",0.320236495099084
"2",255.320598377907,"411","sv",10,"SV214","ma",0.302847511539728
"3",248.953367160608,"411","sv",1,"SV35","ma",0.271024288720649
"3",220.882505797549,"411","sv",2,"SV35","ma",0.130727000088644
"3",209.358200070909,"411","sv",3,"SV35","ma",0.0731288798919585
"3",207.307387658371,"411","sv",4,"SV35","ma",0.0628789834869076
"3",210.50368184296,"411","sv",5,"SV35","ma",0.0788539620231257
"3",219.32408056502,"411","sv",6,"SV35","ma",0.122938039435397
"3",235.456315233345,"411","sv",7,"SV35","ma",0.203566444608591
"3",257.778040542193,"411","sv",8,"SV35","ma",0.315129730747755
"3",268.220694059343,"411","sv",9,"SV35","ma",0.367321786973993
"3",264.941960084853,"411","sv",10,"SV35","ma",0.350934776941877
"4",242.164969018141,"411","sv",1,"SV21","ma",0.237096086759734
"4",211.765558831548,"411","sv",2,"SV21","ma",0.0851607838123203
"4",194.920729925974,"411","sv",3,"SV21","ma",0.000970854890791777
"4",180.373844593435,"411","sv",4,"SV21","ma",-0.0717340238017341
"4",172.952489456444,"411","sv",5,"SV21","ma",-0.108825725058369
"4",168.181493291859,"411","sv",6,"SV21","ma",-0.132671014923463
"4",163.490490601143,"411","sv",7,"SV21","ma",-0.156116499903808
"4",165.480765033812,"411","sv",8,"SV21","ma",-0.146169170431952
"4",168.556800427373,"411","sv",9,"SV21","ma",-0.130795241578433
"4",156.407901708495,"411","sv",10,"SV21","ma",-0.191515058048564
"5",196.441988240883,"411","sv",1,"SV415","ma",0.00857405645023795
"5",199.421432650067,"411","sv",2,"SV415","ma",0.0234652265797177
"5",171.037195419657,"411","sv",3,"SV415","ma",-0.118398304852728
