Filename	1	2	3	4	5	6	7	8	9	10
_Thai_F2_maa21-1	227.81564985705484	220.97678322010856	219.13384156997074	214.4510521262468	208.91096662643122	204.29462041457523	197.79356169844834	183.0926073612477	179.4774890614353	196.4889121071316
_Thai_F2_maa21-2	226.6387652555946	219.83097433900673	220.6355432373078	218.1280557371828	212.85686030624632	205.41536087901267	196.9977032375191	187.96224987042532	181.50600073013055	183.12124955622187
_Thai_F2_maa241-1	232.49613703976698	215.25396583614597	220.6543970872215	230.33240127513787	237.23931684872096	243.01629639895867	238.82173416878035	223.7375025787554	198.6082413034427	178.68108473751698
_Thai_F2_maa241-2	221.1374584483881	211.77532844231575	208.99334365977725	212.80350940210977	216.70307081965697	216.16435786456003	213.5296259067515	206.48219260193684	190.96001848749452	174.98802590139434
_Thai_F2_maa315-1	215.02159442883232	206.81083262744448	199.63031058072127	193.27305856769632	196.38686685652422	192.847475542543	190.320832732984	197.95851965127724	222.35557822793643	271.36913228713377
_Thai_F2_maa315-2	218.35151547154067	213.74900170927472	204.26575485697768	201.13245238145691	194.66237299888647	196.11421943483208	194.15775867879444	200.51173233363238	213.93163963158807	241.41356816722296
_Thai_F2_maa33-1	208.20328962482697	209.72720136109461	216.8530999106969	219.55753474120644	219.88319134566385	218.37244397295285	215.51760214523352	213.788520350506	205.02650321146012	181.2542296675209
_Thai_F2_maa33-2	218.54186298573833	221.37524464753568	220.37973754396822	221.8885245950908	223.04844856862493	222.47334803996299	220.8530399527697	216.59213939164331	210.35978477889196	197.115050721453
_Thai_F2_maa45-1	228.5532425707034	219.04922770848643	215.10404391183087	214.05980604517458	212.6308945869412	214.7929152920431	223.82409902735716	240.88033820766418	252.3243273222743	232.78025823226204
_Thai_F2_maa45-2	225.3671188685958	215.74263554383873	215.05347056923748	216.19921611684913	217.10712135369326	218.9483976144663	223.26514643390783	226.80574294015022	235.28898677477545	249.62949013575232
_Thai_F2_mii21-1	211.30313080598071	213.43294057440704	219.91429230098407	218.43259059231838	211.34951849202716	197.56796061360055	185.375802259516	177.4514367978059	174.58538518047524	185.61017465651466
_Thai_F2_mii21-2	220.01486395244842	213.13357158118365	211.82708049137585	206.83278312114965	199.60983215949676	192.23015992541616	185.7777135843626	180.22025370099328	181.22214890660592	177.81813803686745
_Thai_F2_mii241-1	233.74258226322965	235.9146238212423	249.82947681971729	256.4315941192339	260.3425156151617	262.03455748786814	256.37646977491056	244.56299215529174	218.7368811553743	177.01112464652067
_Thai_F2_mii241-2	233.31073633403616	230.6602363323961	243.29019298362047	248.65664472325804	249.68136023244057	245.30211130681187	239.63916020120294	223.61068714105855	188.6984861213703	148.72789823683797
_Thai_F2_mii315-1	233.52906559466297	223.52543629807016	221.24997913977194	217.4039032191468	212.0941894028913	204.35348714374726	204.60893224008225	217.914643929288	248.31996562171489	297.59718734593895
_Thai_F2_mii315-2	217.88373324311092	207.5449259246821	204.47125166205086	195.6354846983111	192.80588501292326	191.6589577337262	196.2430667663966	216.5498503006742	251.83630720442937	294.4650328171508
