ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	filename[Block]	nextone1.ACC	nextone1.CRESP	nextone1.DurationError	nextone1.OnsetDelay	nextone1.OnsetTime	nextone1.OnsetToOnsetTime	nextone1.RESP	nextone1.RT	nextone1.RTTime	praclist	praclist.Cycle	praclist.Sample	pracstim.ACC	pracstim.CRESP	pracstim.DurationError	pracstim.OnsetDelay	pracstim.OnsetTime	pracstim.OnsetToOnsetTime	pracstim.RESP	pracstim.RT	pracstim.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	syllable[Block]	token[Block]	tone[Block]	Trial	block1list	block1list.Cycle	block1list.Sample	block2list	block2list.Cycle	block2list.Sample	block3list	block3list.Cycle	block3list.Sample	block4list	block4list.Cycle	block4list.Sample	block5list	block5list.Cycle	block5list.Sample	block6list	block6list.Cycle	block6list.Sample	block7list	block7list.Cycle	block7list.Sample	block8list	block8list.Cycle	block8list.Sample	expstim.ACC	expstim.CRESP	expstim.DurationError	expstim.OnsetDelay	expstim.OnsetTime	expstim.OnsetToOnsetTime	expstim.RESP	expstim.RT	expstim.RTTime	filename[Trial]	nextone.ACC	nextone.CRESP	nextone.DurationError	nextone.OnsetDelay	nextone.OnsetTime	nextone.OnsetToOnsetTime	nextone.RESP	nextone.RT	nextone.RTTime	Procedure[Trial]	Running[Trial]	speaker[Trial]	syllable[Trial]	token[Trial]	tone[Trial]
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					1													8	1	1										0		2	136	162775	1500		0	0	Thai_F4_maa315-1	0		0	0	167275	0		0	0	exproc	block5list	F4	maa	1	315
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					2													6	1	2										0		0	0	168275	1500		0	0	Thai_F4_maa21-1	0		0	0	172775	0		0	0	exproc	block5list	F4	maa	1	21
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					3													2	1	3										0		0	0	173775	1500		0	0	Thai_F2_maa241-1	0		0	0	178275	0		0	0	exproc	block5list	F2	maa	1	241
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					4													10	1	4										0		0	0	179275	1500		0	0	Thai_F4_maa45-1	0		0	0	183775	0		0	0	exproc	block5list	F4	maa	1	45
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					5													5	1	5										0		0	0	184775	1500		0	0	Thai_F2_maa45-1	0		1	-1	189274	0		0	0	exproc	block5list	F2	maa	1	45
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					6													3	1	6										0		1	0	190274	1500		0	0	Thai_F2_maa315-1	0		0	0	194774	0		0	0	exproc	block5list	F2	maa	1	315
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					7													1	1	7										0		0	0	195774	1500		0	0	Thai_F2_maa21-1	0		0	0	200274	0		0	0	exproc	block5list	F2	maa	1	21
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					8													7	1	8										0		0	0	201274	1500		0	0	Thai_F4_maa241-1	0		0	0	205774	0		0	0	exproc	block5list	F4	maa	1	241
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					9													4	1	9										0		0	0	206774	1500		0	0	Thai_F2_maa33-1	0		0	0	211274	0		0	0	exproc	block5list	F2	maa	1	33
imit_test	101	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2433574</Frequency><Timestamp dt:dt="r8">1801483197</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-07-17T00:08:52Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	imit_test-101-1	60.002	1.0.0.41	1	1801959583	Professional	2.0.10.353	2.0.10.353	07-17-2018	17/07/2018 12:08:52 AM	10:08:52	2.0.10.248	11	5	1	1																							block5	explist					10													9	1	10										0		0	0	212274	1499		0	0	Thai_F4_maa33-1	0		0	0	216773	0		0	0	exproc	block5list	F4	maa	1	33
