"subject","stimuli","response","isi","counter","response_rt","rating","rating_rt","percentage","sum"
132,"T21","M51","High",21,365.52380952381,4.04761904761905,-650.380952380952,0.75,28
132,"T21","M55","High",7,492.714285714286,4.28571428571429,-644,0.25,28
132,"T241","M51","High",27,422.962962962963,5.81481481481481,-677.814814814815,0.964285714285714,28
132,"T241","M55","High",1,573,6,-301,0.0357142857142857,28
132,"T315","M214","High",19,355.526315789474,6.05263157894737,-586,0.678571428571429,28
132,"T315","M35","High",9,407.666666666667,5.66666666666667,-405.333333333333,0.321428571428571,28
132,"T33","M51","High",3,356.333333333333,4.33333333333333,-635.666666666667,0.107142857142857,28
132,"T33","M55","High",25,407.32,5.88,-524.08,0.892857142857143,28
132,"T45","M35","High",28,446.464285714286,5.82142857142857,-606.392857142857,1,28
133,"T21","M35","Low",1,1531,1,1071,0.0357142857142857,28
133,"T21","M51","Low",25,1156.92,2.16,1163.68,0.892857142857143,28
133,"T21","M55","Low",2,1366.5,2.5,1230.5,0.0714285714285714,28
133,"T241","M51","Low",28,777.464285714286,5.82142857142857,1185.53571428571,1,28
133,"T315","M214","Low",24,875,6.04166666666667,1386.41666666667,0.857142857142857,28
133,"T315","M35","Low",4,1511.75,4.75,1362,0.142857142857143,28
133,"T33","M51","Low",1,1391,5,2007,0.0357142857142857,28
133,"T33","M55","Low",27,847.814814814815,5.61538461538461,1218.55555555556,0.964285714285714,28
133,"T45","M35","Low",28,825.321428571429,6,1088.28571428571,1,28
134,"T21","M214","Low",13,584.076923076923,3.76923076923077,-197.307692307692,0.464285714285714,28
134,"T21","M35","Low",1,1058,2,-32,0.0357142857142857,28
134,"T21","M55","Low",14,357.571428571429,2.35714285714286,-190.785714285714,0.5,28
134,"T241","M35","Low",2,386.5,3.5,-358,0.0714285714285714,28
134,"T241","M51","Low",4,460,4.75,322.5,0.142857142857143,28
134,"T241","M55","Low",22,460.909090909091,4.18181818181818,-106.318181818182,0.785714285714286,28
134,"T315","M214","Low",9,244.111111111111,6.22222222222222,9.55555555555556,0.321428571428571,28
134,"T315","M35","Low",19,374.684210526316,5.94736842105263,-68.6842105263158,0.678571428571429,28
134,"T33","M35","Low",1,418,2,-114,0.0357142857142857,28
134,"T33","M55","Low",27,333.666666666667,4.62962962962963,-323.185185185185,0.964285714285714,28
134,"T45","M35","Low",28,545.642857142857,6.07142857142857,-282.5,1,28
135,"T21","M214","Low",2,838,4.5,694.5,0.0714285714285714,28
135,"T21","M51","Low",23,623.95652173913,5.34782608695652,454.260869565217,0.821428571428571,28
135,"T21","M55","Low",3,482,3,820.666666666667,0.107142857142857,28
135,"T241","M214","Low",1,1594,1,1045,0.0357142857142857,28
135,"T241","M51","Low",5,710.4,5,631.4,0.178571428571429,28
135,"T241","M55","Low",22,518.772727272727,5.54545454545455,725.090909090909,0.785714285714286,28
135,"T315","M214","Low",28,385.392857142857,6.42857142857143,449.107142857143,1,28
135,"T33","M55","Low",28,405.928571428571,6.35714285714286,492.428571428571,1,28
135,"T45","M214","Low",17,436.352941176471,5.47058823529412,481.352941176471,0.607142857142857,28
135,"T45","M35","Low",10,495.6,4.7,636.9,0.357142857142857,28
135,"T45","M55","Low",1,1071,6,1663,0.0357142857142857,28
136,"T21","M214","High",2,840.5,3.5,792.5,0.0714285714285714,28
136,"T21","M35","High",2,662,3,1241,0.0714285714285714,28
136,"T21","M51","High",19,451.684210526316,4.57894736842105,478.947368421053,0.678571428571429,28
136,"T21","M55","High",5,632.6,3.6,851,0.178571428571429,28
136,"T241","M51","High",22,463,5.72727272727273,500.136363636364,0.785714285714286,28
136,"T241","M55","High",6,713.5,4.5,726,0.214285714285714,28
136,"T315","M214","High",16,437.6875,5.3125,379.375,0.571428571428571,28
136,"T315","M35","High",12,542.833333333333,4.91666666666667,439.166666666667,0.428571428571429,28
136,"T33","M51","High",1,533,3,872,0.0357142857142857,28
136,"T33","M55","High",27,399.074074074074,5.66666666666667,536.814814814815,0.964285714285714,28
136,"T45","M214","High",4,393,5.25,587.5,0.142857142857143,28
136,"T45","M35","High",24,463.916666666667,4.91666666666667,775.5,0.857142857142857,28
137,"T21","M35","Low",5,750.8,3.4,892.6,0.178571428571429,28
137,"T21","M51","Low",23,490.304347826087,3.73913043478261,555.782608695652,0.821428571428571,28
137,"T241","M35","Low",10,634.2,4.5,451.4,0.357142857142857,28
137,"T241","M51","Low",10,585.8,4.11111111111111,283,0.357142857142857,28
137,"T241","M55","Low",8,373.375,3.75,556.25,0.285714285714286,28
137,"T315","M214","Low",23,412.782608695652,4.60869565217391,502.739130434783,0.821428571428571,28
137,"T315","M35","Low",5,448.4,4.6,460,0.178571428571429,28
137,"T33","M35","Low",9,578.888888888889,3.88888888888889,645.777777777778,0.333333333333333,27
137,"T33","M55","Low",18,474.777777777778,4.33333333333333,547.388888888889,0.666666666666667,27
137,"T45","M214","Low",12,479.75,5,616.25,0.428571428571429,28
137,"T45","M35","Low",15,551,4.53333333333333,668.266666666667,0.535714285714286,28
137,"T45","M51","Low",1,575,4,1189,0.0357142857142857,28
